time V1 V2 V3 I
0 0 0 0 0
0.01 0.666556 0.66324 1.65806e-05 0.00331612
0.02 0.932822 0.922253 9.25689e-05 0.0105692
0.03 1.01216 0.99256 0.000248581 0.0196023
0.04 1.022 0.992768 0.000495441 0.0292285
0.05 1.01361 0.974678 0.000837258 0.0389295
0.06 1.00455 0.956017 0.00127472 0.0485281
0.07 0.998595 0.940609 0.00180711 0.0579864
0.08 0.995275 0.927966 0.00243331 0.0673093
0.09 0.99344 0.916932 0.0031521 0.0765088
0.1 0.992274 0.90668 0.00396232 0.0855935
0.11 0.991348 0.89678 0.00486284 0.0945678
0.12 0.990486 0.887053 0.00585258 0.103434
0.13 0.989632 0.877439 0.00693044 0.112193
0.14 0.988774 0.86793 0.00809536 0.120844
0.15 0.987918 0.858528 0.00934626 0.12939
0.16 0.987066 0.849238 0.0106821 0.137828
0.17 0.986223 0.840062 0.0121018 0.146161
0.18 0.98539 0.831002 0.0136042 0.154388
0.19 0.984567 0.822057 0.0151885 0.162509
0.2 0.983754 0.813229 0.0168534 0.170526
0.21 0.982953 0.804516 0.0185979 0.178437
0.22 0.982162 0.795917 0.0204211 0.186244
0.23 0.981381 0.787433 0.0223218 0.193947
0.24 0.98061 0.779064 0.024299 0.201547
0.25 0.97985 0.770807 0.0263517 0.209043
0.26 0.979101 0.762664 0.0284788 0.216436
0.27 0.978361 0.754634 0.0306794 0.223727
0.28 0.977632 0.746716 0.0329523 0.230916
0.29 0.976913 0.738911 0.0352967 0.238003
0.3 0.976205 0.731216 0.0377114 0.244989
0.31 0.975506 0.723633 0.0401954 0.251873
0.32 0.974818 0.71616 0.0427478 0.258658
0.33 0.974139 0.708797 0.0453676 0.265342
0.34 0.973471 0.701544 0.0480537 0.271927
0.35 0.972812 0.6944 0.0508051 0.278412
0.36 0.972164 0.687365 0.0536209 0.284799
0.37 0.971525 0.680437 0.0565001 0.291088
0.38 0.970896 0.673618 0.0594417 0.297278
0.39 0.970277 0.666905 0.0624447 0.303372
0.4 0.969668 0.6603 0.0655082 0.309368
0.41 0.969068 0.6538 0.0686311 0.315268
0.42 0.968478 0.647406 0.0718126 0.321072
0.43 0.967898 0.641117 0.0750516 0.32678
0.44 0.967327 0.634933 0.0783472 0.332394
0.45 0.966765 0.628853 0.0816985 0.337912
0.46 0.966213 0.622876 0.0851045 0.343337
0.47 0.965671 0.617003 0.0885643 0.348668
0.48 0.965138 0.611231 0.092077 0.353906
0.49 0.964614 0.605562 0.0956415 0.359052
0.5 0.964099 0.599994 0.0992571 0.364105
0.51 0.963594 0.594527 0.102923 0.369067
0.52 0.963098 0.58916 0.106638 0.373938
0.53 0.962611 0.583893 0.110401 0.378718
0.54 0.962133 0.578724 0.114211 0.383408
