time V1 V2 V3 I
0 0 0 0 0
0.1 1.66009 1.58123 0.00394322 0.0788644
0.2 1.14358 0.974558 0.0165257 0.169021
0.3 0.974945 0.729696 0.0370698 0.245249
0.4 0.962456 0.652596 0.0645751 0.309859
0.5 0.962844 0.598111 0.0980591 0.364733
0.6 0.959473 0.548958 0.136588 0.410515
0.7 0.955638 0.50795 0.179277 0.447688
0.8 0.952588 0.475808 0.225292 0.47678
0.9 0.950348 0.451995 0.273854 0.498353
1 0.948819 0.435835 0.32424 0.512984
1.1 0.947931 0.426678 0.375786 0.521254
1.2 0.947627 0.423883 0.427884 0.523744
1.3 0.947849 0.426819 0.479985 0.521029
1.4 0.94854 0.434864 0.531597 0.513675
1.5 0.949645 0.447413 0.582283 0.502233
1.6 0.951112 0.463879 0.631661 0.487233
1.7 0.952888 0.483701 0.679399 0.469187
1.8 0.954925 0.506345 0.725217 0.44858
1.9 0.957177 0.531305 0.768882 0.425872
2 0.9596 0.558103 0.810203 0.401497
2.1 0.962153 0.586297 0.849034 0.375856
2.2 0.964799 0.615476 0.885265 0.349323
2.3 0.967503 0.645262 0.918825 0.322241
2.4 0.970233 0.675311 0.949673 0.294923
2.5 0.972962 0.705312 0.9778 0.267651
2.6 0.975663 0.734986 1.00322 0.240678
2.7 0.978315 0.764087 1.02598 0.214228
2.8 0.980896 0.7924 1.04613 0.188496
2.9 0.98339 0.819739 1.06375 0.163651
3 0.985782 0.845947 1.07895 0.139835
3.1 0.988061 0.870893 1.09183 0.117168
3.2 0.990216 0.894473 1.1025 0.0957432
3.3 0.992241 0.916606 1.11111 0.075635
3.4 0.994128 0.937232 1.11777 0.0568967
3.5 0.995876 0.956313 1.12262 0.0395632
3.6 0.997481 0.973829 1.12582 0.0236527
3.7 0.998944 0.989776 1.1275 0.00916789
3.8 1.00027 1.00417 1.12779 -0.00390218
3.9 1.00145 1.01703 1.12686 -0.0155807
4 1.00249 1.02839 1.12482 -0.0259016
4.1 1.00341 1.03831 1.12181 -0.0349082
4.2 1.00419 1.04684 1.11796 -0.0426516
4.3 1.00486 1.05405 1.1134 -0.0491896
4.4 1.00541 1.05999 1.10824 -0.0545854
4.5 1.00585 1.06476 1.10259 -0.0589065
4.6 1.00619 1.06842 1.09656 -0.0622233
4.7 1.00644 1.07105 1.09025 -0.0646088
4.8 1.0066 1.07274 1.08373 -0.0661368
4.9 1.00668 1.07357 1.0771 -0.0668818
5 1.00669 1.07361 1.07043 -0.0669181
5.1 1.00664 1.07296 1.06379 -0.0663185
5.2 1.00653 1.07168 1.05723 -0.0651548
5.3 1.00637 1.06986 1.05081 -0.0634964
5.4 1.00616 1.06757 1.04457 -0.0614103
5.5 1.00592 1.06488 1.03856 -0.0589604
5.6 1.00565 1.06186 1.03281 -0.0562076
5.7 1.00535 1.05856 1.02735 -0.0532093
5.8 1.00503 1.05505 1.02219 -0.0500192
5.9 1.0047 1.05139 1.01736 -0.0466875
6 1.00436 1.04762 1.01287 -0.0432601
6.1 1.00401 1.04379 1.00872 -0.0397794
6.2 1.00366 1.03995 1.00492 -0.0362838
6.3 1.00332 1.03612 1.00146 -0.0328079
6.4 1.00297 1.03235 0.998352 -0.0293824
6.5 1.00264 1.02867 0.995579 -0.0260345
6.6 1.00231 1.0251 0.993136 -0.0227877
6.7 1.002 1.02166 0.991011 -0.0196622
6.8 1.0017 1.01837 0.989191 -0.0166749
6.9 1.00141 1.01525 0.987661 -0.0138399
7 1.00114 1.01231 0.986407 -0.0111679
7.1 1.00089 1.00956 0.985411 -0.00866746
7.2 1.00066 1.007 0.984656 -0.00634431
7.3 1.00044 1.00464 0.984125 -0.00420203
7.4 1.00024 1.00249 0.983798 -0.00224211
7.5 1.00006 1.00053 0.983658 -0.000464159
7.6 0.999902 0.998768 0.983687 0.0011339
7.7 0.999758 0.997202 0.983867 0.00255561
7.8 0.999631 0.995825 0.984181 0.00380583
7.9 0.999521 0.994631 0.984611 0.00489052
8 0.999427 0.99361 0.985143 0.0058166
8.1 0.999348 0.992756 0.985759 0.00659177
8.2 0.999283 0.992059 0.986446 0.00722434
8.3 0.999232 0.991509 0.98719 0.00772311
8.4 0.999194 0.991096 0.987978 0.00809725
8.5 0.999167 0.99081 0.988798 0.00835615
8.6 0.99915 0.990641 0.989638 0.00850929
8.7 0.999144 0.990577 0.990489 0.0085662
8.8 0.999146 0.990609 0.991342 0.00853631
8.9 0.999156 0.990727 0.992188 0.0084289
9 0.999173 0.99092 0.993021 0.00825303
9.1 0.999196 0.991178 0.993833 0.00801744
9.2 0.999224 0.991493 0.994619 0.00773055
9.3 0.999256 0.991856 0.995374 0.00740039
9.4 0.999293 0.992258 0.996095 0.00703456
9.5 0.999332 0.992692 0.996778 0.00664022
9.6 0.999373 0.993149 0.99742 0.00622404
9.7 0.999416 0.993624 0.998021 0.00579221
9.8 0.99946 0.99411 0.998577 0.00535044
9.9 0.999505 0.994601 0.99909 0.00490393
10 0.99955 0.995092 0.999558 0.00445739
