time V1 V2 V3 I
0 0 0 0 0
0.2 1.80341 1.64094 0.016247 0.16247
0.4 0.299097 -0.0176592 0.0641695 0.316756
0.6 1.50783 1.10263 0.136365 0.4052
0.8 0.503886 0.0223297 0.225041 0.481556
1 1.31582 0.806314 0.324147 0.509502
1.2 0.64738 0.120401 0.427795 0.526979
1.4 1.19411 0.682761 0.531628 0.511353
1.6 0.750204 0.260826 0.631701 0.489379
1.8 1.11925 0.67227 0.725337 0.446984
2 0.825168 0.422294 0.810323 0.402875
2.2 1.07477 0.726579 0.885429 0.348187
2.4 0.880286 0.584516 0.949825 0.295771
2.6 1.04926 0.809413 1.00339 0.239842
2.8 0.920715 0.731725 1.04627 0.188991
3 1.03503 0.895823 1.07909 0.13921
3.2 0.949953 0.853937 1.10261 0.0960154
3.4 1.02709 0.970661 1.11786 0.0564284
3.6 0.970543 0.946747 1.12588 0.0237956
3.8 1.02232 1.02657 1.12783 -0.00424414
4 0.984469 1.01029 1.12483 -0.0258242
4.2 1.01895 1.06184 1.11796 -0.0428889
4.4 0.993349 1.04788 1.10821 -0.0545334
4.6 1.01607 1.07844 1.09652 -0.0623744
4.8 0.99853 1.06462 1.08368 -0.0660881
5 1.0133 1.0803 1.07037 -0.0670005
5.2 1.00113 1.06623 1.05716 -0.0651002
5.4 1.01058 1.07202 1.0445 -0.0614414
5.6 1.00203 1.05818 1.03274 -0.0561461
5.8 1.00799 1.058 1.02213 -0.0500153
6 1.00194 1.04513 1.01281 -0.0431952
6.2 1.00564 1.0419 1.00486 -0.0362592
6.4 1.00135 1.03067 0.998304 -0.0293193
6.6 1.00363 1.02638 0.993097 -0.0227542
6.8 1.00061 1.01723 0.98916 -0.0166187
7 1.00202 1.01316 0.986384 -0.0111344
7.2 0.999928 1.00623 0.984641 -0.00629837
7.4 1.00083 1.00305 0.98379 -0.00221414
7.6 0.999414 0.998246 0.983685 0.00116765
7.8 1.00003 0.9962 0.984185 0.00382533
8 0.999101 0.993262 0.985151 0.00583806
8.2 0.999547 0.992313 0.986458 0.00723469
8.4 0.998975 0.990868 0.987992 0.00810769
8.6 0.999327 0.990816 0.989654 0.00851141
8.8 0.999 0.990462 0.991359 0.0085379
9 0.999292 0.991043 0.993038 0.00824874
9.2 0.999127 0.991401 0.994635 0.00772586
9.4 0.999373 0.992347 0.996111 0.0070261
9.6 0.999309 0.993094 0.997435 0.00621562
9.8 0.999515 0.994175 0.99859 0.00533995
10 0.999507 0.99506 0.999569 0.00444748
