t x y
0 475 0.00654
0.02 476 0.446528
0.04 477 0.885454
0.06 478 1.32226
0.08 479 1.75587
0.1 480 2.18524
0.12 481 2.6093
0.14 482 3.02699
0.16 483 3.43725
0.18 484 3.83901
0.2 485 4.23121
0.22 486 4.6128
0.24 487 4.9827
0.26 488 5.33987
0.28 489 5.68323
0.3 490 6.01172
0.32 491 6.32428
0.34 492 6.61986
0.36 493 6.89738
0.38 494 7.15579
0.4 495 7.39402
0.42 496 7.61102
0.44 497 7.80572
0.46 498 7.97705
0.48 499 8.12397
0.5 500 8.24539
0.52 501 8.34028
0.54 502 8.40755
0.56 503 8.44615
0.58 504 8.45502
0.6 505 8.4331
0.62 506 8.37932
0.64 507 8.29262
0.66 508 8.17195
0.68 509 8.01623
0.7 510 7.82441
0.72 511 7.59542
0.74 512 7.3282
0.76 513 7.0217
0.78 514 6.67485
0.8 515 6.28658
0.82 516 5.85584
0.84 517 5.38156
0.86 518 4.86268
0.88 519 4.29815
0.9 520 3.68689
0.92 521 3.02785
0.94 522 2.31996
0.96 523 1.56216
0.98 524 0.753397
1 525 -0.1074
1.02 526 -1.01967
1.04 527 -1.9764
1.06 528 -2.96893
1.08 529 -3.98862
1.1 530 -5.02684
1.12 531 -6.07493
1.14 532 -7.12426
1.16 533 -8.16618
1.18 534 -9.19205
1.2 535 -10.1932
1.22 536 -11.1611
1.24 537 -12.0869
1.26 538 -12.9622
1.28 539 -13.7781
1.3 540 -14.5262
1.32 541 -15.1977
1.34 542 -15.784
1.36 543 -16.2765
1.38 544 -16.6665
1.4 545 -16.9454
1.42 546 -17.1045
1.44 547 -17.1352
1.46 548 -17.0289
1.48 549 -16.7768
1.5 550 -16.3704
1.52 551 -15.8011
1.54 552 -15.0601
1.56 553 -14.1388
1.58 554 -13.0286
1.6 555 -11.7209
1.62 556 -10.207
1.64 557 -8.47823
1.66 558 -6.52599
1.68 559 -4.34162
1.7 560 -1.91649
1.72 561 0.758062
1.74 562 3.69066
1.76 563 6.88996
1.78 564 10.3646
1.8 565 14.1232
1.82 566 18.1745
1.84 567 22.527
1.86 568 27.1894
1.88 569 32.1704
1.9 570 37.4786
1.92 571 43.1226
1.94 572 49.1111
1.96 573 55.4528
1.98 574 62.1562
2 575 69.23
2.02 576 76.6779
2.04 577 84.4835
2.06 578 92.6254
2.08 579 101.082
2.1 580 109.833
2.12 581 118.856
2.14 582 128.13
2.16 583 137.633
2.18 584 147.345
2.2 585 157.243
2.22 586 167.307
2.24 587 177.515
2.26 588 187.846
2.28 589 198.279
2.3 590 208.792
2.32 591 219.363
2.34 592 229.972
2.36 593 240.597
2.38 594 251.216
2.4 595 261.809
2.42 596 272.354
2.44 597 282.83
2.46 598 293.215
2.48 599 303.488
2.5 600 313.627
2.52 601 323.612
2.54 602 333.42
2.56 603 343.031
2.58 604 352.424
2.6 605 361.576
2.62 606 370.467
2.64 607 379.074
2.66 608 387.378
2.68 609 395.356
2.7 610 402.987
2.72 611 410.249
2.74 612 417.122
2.76 613 423.585
2.78 614 429.614
2.8 615 435.19
2.82 616 440.291
2.84 617 444.896
2.86 618 448.983
2.88 619 452.531
2.9 620 455.518
2.92 621 457.923
2.94 622 459.726
2.96 623 460.903
2.98 624 461.435
3 625 461.3
3.02 626 460.483
3.04 627 459.001
3.06 628 456.874
3.08 629 454.125
3.1 630 450.777
3.12 631 446.852
3.14 632 442.372
3.16 633 437.359
3.18 634 431.836
3.2 635 425.826
3.22 636 419.349
3.24 637 412.429
3.26 638 405.088
3.28 639 397.348
3.3 640 389.232
3.32 641 380.761
3.34 642 371.958
3.36 643 362.846
3.38 644 353.446
3.4 645 343.781
3.42 646 333.873
3.44 647 323.745
3.46 648 313.419
3.48 649 302.916
3.5 650 292.26
3.52 651 281.472
3.54 652 270.576
3.56 653 259.592
3.58 654 248.544
3.6 655 237.454
3.62 656 226.344
3.64 657 215.236
3.66 658 204.152
3.68 659 193.116
3.7 660 182.149
3.72 661 171.273
3.74 662 160.511
3.76 663 149.885
3.78 664 139.418
3.8 665 129.131
3.82 666 119.047
3.84 667 109.188
3.86 668 99.577
3.88 669 90.2355
3.9 670 81.1861
3.92 671 72.451
3.94 672 64.0526
3.96 673 56.0131
3.98 674 48.3548
4 675 41.1
4.02 676 34.2656
4.04 677 27.8467
4.06 678 21.8332
4.08 679 16.2148
4.1 680 10.9813
4.12 681 6.12242
4.14 682 1.62798
4.16 683 -2.51226
4.18 684 -6.30853
4.2 685 -9.77105
4.22 686 -12.9101
4.24 687 -15.7358
4.26 688 -18.2584
4.28 689 -20.4882
4.3 690 -22.4354
4.32 691 -24.1102
4.34 692 -25.5229
4.36 693 -26.6836
4.38 694 -27.6027
4.4 695 -28.2902
4.42 696 -28.7565
4.44 697 -29.0118
4.46 698 -29.0663
4.48 699 -28.9302
4.5 700 -28.6138
4.52 701 -28.1273
4.54 702 -27.4809
4.56 703 -26.6848
4.58 704 -25.7493
4.6 705 -24.6847
4.62 706 -23.501
4.64 707 -22.2086
4.66 708 -20.8176
4.68 709 -19.3384
4.7 710 -17.7811
4.72 711 -16.1559
4.74 712 -14.4732
4.76 713 -12.7431
4.78 714 -10.9758
4.8 715 -9.18153
4.82 716 -7.37059
4.84 717 -5.55318
4.86 718 -3.73952
4.88 719 -1.93984
4.9 720 -0.164366
4.92 721 1.57668
4.94 722 3.27307
4.96 723 4.91457
4.98 724 6.49095
5 725 7.992
5.02 726 9.40947
5.04 727 10.7431
5.06 728 11.9945
5.08 729 13.1656
5.1 730 14.2579
5.12 731 15.2732
5.14 732 16.2132
5.16 733 17.0796
5.18 734 17.8741
5.2 735 18.5985
5.22 736 19.2544
5.24 737 19.8436
5.26 738 20.3677
5.28 739 20.8286
5.3 740 21.2278
5.32 741 21.5671
5.34 742 21.8482
5.36 743 22.0729
5.38 744 22.2428
5.4 745 22.3596
5.42 746 22.4251
5.44 747 22.441
5.46 748 22.4089
5.48 749 22.3307
5.5 750 22.2079
5.52 751 22.0424
5.54 752 21.8358
5.56 753 21.5898
5.58 754 21.3062
5.6 755 20.9867
5.62 756 20.6329
5.64 757 20.2466
5.66 758 19.8295
5.68 759 19.3833
5.7 760 18.9097
5.72 761 18.4105
5.74 762 17.8873
5.76 763 17.3418
5.78 764 16.7758
5.8 765 16.191
5.82 766 15.5891
5.84 767 14.9718
