t x y
0 475 0.00654
0.0666667 476 0.0917871
0.133333 477 0.174749
0.2 478 0.253142
0.266667 479 0.324679
0.333333 480 0.387078
0.4 481 0.438051
0.466667 482 0.475315
0.533333 483 0.496585
0.6 484 0.499575
0.666667 485 0.482001
0.733333 486 0.441579
0.8 487 0.376022
0.866667 488 0.283046
0.933333 489 0.160366
1 490 0.005698
1.06667 491 -0.181925
1.13333 492 -0.398192
1.2 493 -0.637475
1.26667 494 -0.894143
1.33333 495 -1.16257
1.4 496 -1.43712
1.46667 497 -1.71217
1.53333 498 -1.98209
1.6 499 -2.24125
1.66667 500 -2.48402
1.73333 501 -2.70477
1.8 502 -2.89787
1.86667 503 -3.0577
1.93333 504 -3.17862
2 505 -3.255
2.06667 506 -3.28289
2.13333 507 -3.26503
2.2 508 -3.20581
2.26667 509 -3.10966
2.33333 510 -2.98098
2.4 511 -2.82418
2.46667 512 -2.64367
2.53333 513 -2.44385
2.6 514 -2.22914
2.66667 515 -2.00395
2.73333 516 -1.77267
2.8 517 -1.53973
2.86667 518 -1.30954
2.93333 519 -1.08649
3 520 -0.875
3.06667 521 -0.678148
3.13333 522 -0.493688
3.2 523 -0.318043
3.26667 524 -0.147636
3.33333 525 0.0211091
3.4 526 0.191769
3.46667 527 0.36792
3.53333 528 0.553139
3.6 529 0.751002
3.66667 530 0.965087
3.73333 531 1.19897
3.8 532 1.45622
3.86667 533 1.74043
3.93333 534 2.05516
4 535 2.404
4.06667 536 2.7884
4.13333 537 3.20132
4.2 538 3.63361
4.26667 539 4.07612
4.33333 540 4.51969
4.4 541 4.95518
4.46667 542 5.37341
4.53333 543 5.76525
4.6 544 6.12154
4.66667 545 6.43312
4.73333 546 6.69083
4.8 547 6.88553
4.86667 548 7.00807
4.93333 549 7.04927
5 550 7
5.06667 551 6.85899
5.13333 552 6.65658
5.2 553 6.43098
5.26667 554 6.22043
5.33333 555 6.06315
5.4 556 5.99737
5.46667 557 6.06131
5.53333 558 6.29321
5.6 559 6.73127
5.66667 560 7.41374
5.73333 561 8.37883
5.8 562 9.66478
5.86667 563 11.3098
5.93333 564 13.3521
6 565 15.83
6.06667 566 18.7731
6.13333 567 22.1768
6.2 568 26.0282
6.26667 569 30.3141
6.33333 570 35.0215
6.4 571 40.1372
6.46667 572 45.6483
6.53333 573 51.5417
6.6 574 57.8042
6.66667 575 64.4228
6.73333 576 71.3845
6.8 577 78.6761
6.86667 578 86.2846
6.93333 579 94.1969
7 580 102.4
7.06667 581 110.878
7.13333 582 119.607
7.2 583 128.559
7.26667 584 137.706
7.33333 585 147.021
7.4 586 156.477
7.46667 587 166.047
7.53333 588 175.702
7.6 589 185.416
7.66667 590 195.162
7.73333 591 204.911
7.8 592 214.637
7.86667 593 224.312
7.93333 594 233.909
8 595 243.4
8.06667 596 252.764
8.13333 597 262.002
8.2 598 271.122
8.26667 599 280.131
8.33333 600 289.037
8.4 601 297.846
8.46667 602 306.566
8.53333 603 315.204
8.6 604 323.768
8.66667 605 332.265
8.73333 606 340.702
8.8 607 349.087
8.86667 608 357.427
8.93333 609 365.728
9 610 374
9.06667 611 382.237
9.13333 612 390.391
9.2 613 398.4
9.26667 614 406.206
9.33333 615 413.746
9.4 616 420.962
9.46667 617 427.792
9.53333 618 434.176
9.6 619 440.053
9.66667 620 445.364
9.73333 621 450.047
9.8 622 454.043
9.86667 623 457.29
9.93333 624 459.73
10 625 461.3
10.0667 626 461.952
10.1333 627 461.681
10.2 628 460.493
10.2667 629 458.393
10.3333 630 455.389
10.4 631 451.485
10.4667 632 446.689
10.5333 633 441.006
10.6 634 434.441
10.6667 635 427.003
10.7333 636 418.695
10.8 637 409.525
10.8667 638 399.499
10.9333 639 388.621
11 640 376.9
11.0667 641 364.358
11.1333 642 351.09
11.2 643 337.209
11.2667 644 322.828
11.3333 645 308.058
11.4 646 293.013
11.4667 647 277.806
11.5333 648 262.548
11.6 649 247.353
11.6667 650 232.333
11.7333 651 217.601
11.8 652 203.268
11.8667 653 189.449
11.9333 654 176.256
12 655 163.8
12.0667 656 152.17
12.1333 657 141.351
12.2 658 131.304
12.2667 659 121.991
12.3333 660 113.371
