t x y
12.4 661 105.405
12.4667 662 98.0544
12.5333 663 91.2796
12.6 664 85.0413
12.6667 665 79.3003
12.7333 666 74.0173
12.8 667 69.1531
12.8667 668 64.6683
12.9333 669 60.5237
13 670 56.68
13.0667 671 53.1025
13.1333 672 49.7745
13.2 673 46.6837
13.2667 674 43.8181
13.3333 675 41.1654
13.4 676 38.7134
13.4667 677 36.45
13.5333 678 34.363
13.6 679 32.4403
13.6667 680 30.6695
13.7333 681 29.0386
13.8 682 27.5354
13.8667 683 26.1477
13.9333 684 24.8633
14 685 23.67
14.0667 686 22.5571
14.1333 687 21.5193
14.2 688 20.553
14.2667 689 19.6542
14.3333 690 18.8193
14.4 691 18.0445
14.4667 692 17.3259
14.5333 693 16.6598
14.6 694 16.0425
14.6667 695 15.4701
14.7333 696 14.9389
14.8 697 14.445
14.8667 698 13.9848
14.9333 699 13.5544
15 700 13.15
15.0667 701 12.7684
15.1333 702 12.4081
15.2 703 12.0682
15.2667 704 11.7477
15.3333 705 11.4457
15.4 706 11.1612
15.4667 707 10.8933
15.5333 708 10.6411
15.6 709 10.4035
15.6667 710 10.1798
15.7333 711 9.96879
15.8 712 9.76967
15.8667 713 9.58146
15.9333 714 9.40322
16 715 9.234
16.0667 716 9.07298
16.1333 717 8.91988
16.2 718 8.77453
16.2667 719 8.63678
16.3333 720 8.50648
16.4 721 8.38346
16.4667 722 8.26756
16.5333 723 8.15863
16.6 724 8.05652
16.6667 725 7.96105
16.7333 726 7.87208
16.8 727 7.78945
16.8667 728 7.713
16.9333 729 7.64257
17 730 7.578
17.0667 731 7.51919
17.1333 732 7.46624
17.2 733 7.41928
17.2667 734 7.37848
17.3333 735 7.34398
17.4 736 7.31592
17.4667 737 7.29446
17.5333 738 7.27975
17.6 739 7.27192
17.6667 740 7.27114
17.7333 741 7.27754
17.8 742 7.29128
17.8667 743 7.31251
17.9333 744 7.34136
18 745 7.378
18.0667 746 7.42243
18.1333 747 7.47415
18.2 748 7.5325
18.2667 749 7.59684
18.3333 750 7.66653
18.4 751 7.74091
18.4667 752 7.81934
18.5333 753 7.90118
18.6 754 7.98577
18.6667 755 8.07247
18.7333 756 8.16063
18.8 757 8.24962
18.8667 758 8.33877
18.9333 759 8.42745
19 760 8.515
19.0667 761 8.60091
19.1333 762 8.68518
19.2 763 8.7679
19.2667 764 8.84922
19.3333 765 8.92923
19.4 766 9.00807
19.4667 767 9.08585
19.5333 768 9.16268
19.6 769 9.23869
19.6667 770 9.31399
19.7333 771 9.3887
19.8 772 9.46294
19.8667 773 9.53682
19.9333 774 9.61047
20 775 9.684
