t x y
0 475 0.00654
0.0133333 476 -2.46263
0.0266667 477 -4.92908
0.04 478 -7.39005
0.0533333 479 -9.84282
0.0666667 480 -12.2847
0.08 481 -14.7128
0.0933333 482 -17.1246
0.106667 483 -19.5172
0.12 484 -21.888
0.133333 485 -24.2341
0.146667 486 -26.553
0.16 487 -28.8417
0.173333 488 -31.0977
0.186667 489 -33.3181
0.2 490 -35.5002
0.213333 491 -37.6413
0.226667 492 -39.7387
0.24 493 -41.7896
0.253333 494 -43.7913
0.266667 495 -45.7411
0.28 496 -47.6362
0.293333 497 -49.4739
0.306667 498 -51.2514
0.32 499 -52.9661
0.333333 500 -54.6151
0.346667 501 -56.1958
0.36 502 -57.7055
0.373333 503 -59.1413
0.386667 504 -60.5006
0.4 505 -61.7806
0.413333 506 -62.9786
0.426667 507 -64.0918
0.44 508 -65.1176
0.453333 509 -66.0531
0.466667 510 -66.8957
0.48 511 -67.6426
0.493333 512 -68.2911
0.506667 513 -68.8385
0.52 514 -69.282
0.533333 515 -69.6188
0.546667 516 -69.8464
0.56 517 -69.9618
0.573333 518 -69.9624
0.586667 519 -69.8455
0.6 520 -69.6082
0.613333 521 -69.248
0.626667 522 -68.762
0.64 523 -68.1475
0.653333 524 -67.4018
0.666667 525 -66.5222
0.68 526 -65.5058
0.693333 527 -64.3501
0.706667 528 -63.0522
0.72 529 -61.6094
0.733333 530 -60.0189
0.746667 531 -58.2782
0.76 532 -56.3843
0.773333 533 -54.3346
0.786667 534 -52.1264
0.8 535 -49.7568
0.813333 536 -47.2233
0.826667 537 -44.5229
0.84 538 -41.6531
0.853333 539 -38.6111
0.866667 540 -35.3941
0.88 541 -31.9994
0.893333 542 -28.4243
0.906667 543 -24.666
0.92 544 -20.7219
0.933333 545 -16.5891
0.946667 546 -12.2649
0.96 547 -7.74666
0.973333 548 -3.03158
0.986667 549 1.88306
1 550 7
1.01333 551 12.3203
1.02667 552 17.8383
1.04 553 23.5468
1.05333 554 29.4383
1.06667 555 35.5056
1.08 556 41.7415
1.09333 557 48.1385
1.10667 558 54.6894
1.12 559 61.3869
1.13333 560 68.2237
1.14667 561 75.1924
1.16 562 82.2858
1.17333 563 89.4965
1.18667 564 96.8172
1.2 565 104.241
1.21333 566 111.76
1.22667 567 119.367
1.24 568 127.054
1.25333 569 134.816
1.26667 570 142.643
1.28 571 150.53
1.29333 572 158.468
1.30667 573 166.45
1.32 574 174.469
1.33333 575 182.518
1.34667 576 190.59
1.36 577 198.676
1.37333 578 206.77
1.38667 579 214.864
1.4 580 222.952
1.41333 581 231.026
1.42667 582 239.078
1.44 583 247.101
1.45333 584 255.088
1.46667 585 263.031
1.48 586 270.924
1.49333 587 278.759
1.50667 588 286.529
1.52 589 294.226
1.53333 590 301.843
1.54667 591 309.373
1.56 592 316.808
1.57333 593 324.141
1.58667 594 331.365
1.6 595 338.473
1.61333 596 345.457
1.62667 597 352.31
1.64 598 359.024
1.65333 599 365.593
1.66667 600 372.009
1.68 601 378.264
1.69333 602 384.352
1.70667 603 390.265
1.72 604 395.995
1.73333 605 401.537
1.74667 606 406.881
1.76 607 412.021
1.77333 608 416.949
1.78667 609 421.659
1.8 610 426.143
1.81333 611 430.393
1.82667 612 434.403
1.84 613 438.164
1.85333 614 441.671
1.86667 615 444.914
1.88 616 447.888
1.89333 617 450.585
1.90667 618 452.997
1.92 619 455.117
1.93333 620 456.938
1.94667 621 458.453
1.96 622 459.653
1.97333 623 460.533
1.98667 624 461.084
2 625 461.3
2.01333 626 461.175
2.02667 627 460.714
2.04 628 459.925
2.05333 629 458.815
2.06667 630 457.391
2.08 631 455.661
2.09333 632 453.631
2.10667 633 451.31
2.12 634 448.704
2.13333 635 445.82
2.14667 636 442.667
2.16 637 439.251
2.17333 638 435.579
2.18667 639 431.659
2.2 640 427.499
2.21333 641 423.105
2.22667 642 418.484
2.24 643 413.645
2.25333 644 408.594
2.26667 645 403.339
2.28 646 397.887
2.29333 647 392.245
2.30667 648 386.42
2.32 649 380.421
2.33333 650 374.253
2.34667 651 367.925
2.36 652 361.444
2.37333 653 354.817
2.38667 654 348.051
2.4 655 341.153
2.41333 656 334.132
2.42667 657 326.994
2.44 658 319.747
2.45333 659 312.397
2.46667 660 304.952
2.48 661 297.42
2.49333 662 289.808
2.50667 663 282.122
2.52 664 274.371
2.53333 665 266.562
2.54667 666 258.701
2.56 667 250.797
2.57333 668 242.856
2.58667 669 234.886
2.6 670 226.894
2.61333 671 218.887
2.62667 672 210.873
2.64 673 202.86
2.65333 674 194.853
2.66667 675 186.861
2.68 676 178.891
2.69333 677 170.95
2.70667 678 163.046
2.72 679 155.185
2.73333 680 147.376
2.74667 681 139.624
2.76 682 131.939
2.77333 683 124.326
2.78667 684 116.794
2.8 685 109.35
2.81333 686 102
2.82667 687 94.7521
2.84 688 87.6139
2.85333 689 80.5925
2.86667 690 73.6951
2.88 691 66.9291
2.89333 692 60.3017
2.90667 693 53.8203
2.92 694 47.4921
2.93333 695 41.3245
2.94667 696 35.3247
2.96 697 29.5001
2.97333 698 23.8579
2.98667 699 18.4054
3 700 13.15
3.01333 701 8.09723
3.02667 702 3.24606
3.04 703 -1.40622
3.05333 704 -5.86235
3.06667 705 -10.125
3.08 706 -14.197
3.09333 707 -18.081
3.10667 708 -21.7798
3.12 709 -25.296
3.13333 710 -28.6324
3.14667 711 -31.7917
3.16 712 -34.7766
3.17333 713 -37.5899
3.18667 714 -40.2343
3.2 715 -42.7125
3.21333 716 -45.0273
3.22667 717 -47.1813
3.24 718 -49.1772
3.25333 719 -51.0179
3.26667 720 -52.7061
3.28 721 -54.2443
3.29333 722 -55.6355
3.30667 723 -56.8823
3.32 724 -57.9874
3.33333 725 -58.9535
3.34667 726 -59.7835
3.36 727 -60.4799
3.37333 728 -61.0456
3.38667 729 -61.4832
3.4 730 -61.7955
3.41333 731 -61.9852
3.42667 732 -62.055
3.44 733 -62.0077
3.45333 734 -61.8459
3.46667 735 -61.5725
3.48 736 -61.1901
3.49333 737 -60.7014
3.50667 738 -60.1092
3.52 739 -59.4162
3.53333 740 -58.6251
3.54667 741 -57.7386
3.56 742 -56.7596
3.57333 743 -55.6906
3.58667 744 -54.5344
3.6 745 -53.2938
3.61333 746 -51.9715
3.62667 747 -50.5701
3.64 748 -49.0925
3.65333 749 -47.5413
3.66667 750 -45.9192
3.68 751 -44.2291
3.69333 752 -42.4735
3.70667 753 -40.6554
3.72 754 -38.7772
3.73333 755 -36.8419
3.74667 756 -34.8521
3.76 757 -32.8105
3.77333 758 -30.7198
3.78667 759 -28.5829
3.8 760 -26.4023
3.81333 761 -24.1809
3.82667 762 -21.9214
3.84 763 -19.6264
3.85333 764 -17.2988
3.86667 765 -14.9411
3.88 766 -12.5563
3.89333 767 -10.1469
3.90667 768 -7.71571
3.92 769 -5.26545
3.93333 770 -2.79885
3.94667 771 -0.318626
3.96 772 2.1725
3.97333 773 4.67179
3.98667 774 7.17653
4 775 9.684
