time	V1	V2	V3	I								time	V1	V2	V3	I
0.57	0.98817	0.746185	0.0355123	0.241985								5.7	0.991625	0.832296	1.10094	0.15933
0.58	0.98799	0.742452	0.0367222	0.245539								5.8	0.992306	0.846408	1.10891	0.145897
0.59	0.987812	0.738745	0.0379499	0.249067								5.9	0.992971	0.860199	1.1162	0.132772
0.6	0.987635	0.735064	0.0391952	0.252571								6	0.993621	0.873649	1.12284	0.119972
0.61	0.987459	0.731409	0.0404581	0.256051								6.1	0.994255	0.886742	1.12884	0.107513
0.62	0.987285	0.727779	0.0417383	0.259505								6.2	0.994871	0.899463	1.13422	0.0954078
0.63	0.987111	0.724176	0.0430359	0.262936								6.3	0.995469	0.911799	1.13899	0.0836702
0.64	0.986939	0.720598	0.0443505	0.266341								6.4	0.996048	0.923737	1.14317	0.0723108
0.65	0.986768	0.717046	0.0456823	0.269723								6.5	0.996609	0.935269	1.14678	0.0613392
0.66	0.986599	0.713519	0.0470309	0.273079								6.6	0.997149	0.946386	1.14985	0.0507635
0.67	0.98643	0.710018	0.0483963	0.276412								6.7	0.99767	0.95708	1.15239	0.0405902
0.68	0.986263	0.706543	0.0497783	0.27972								6.8	0.998171	0.967346	1.15442	0.0308247
0.69	0.986097	0.703093	0.0511769	0.283004								6.9	0.998651	0.97718	1.15596	0.021471
0.7	0.985932	0.699669	0.0525919	0.286263								7	0.99911	0.986578	1.15703	0.012532
0.71	0.985769	0.69627	0.0540233	0.289499								7.1	0.999549	0.99554	1.15766	0.00400917
0.72	0.985606	0.692896	0.0554708	0.29271								7.2	0.999967	1.00406	1.15786	-0.00409688
0.73	0.985445	0.689548	0.0569343	0.295897								7.3	1.00036	1.01215	1.15766	-0.0117868
0.74	0.985285	0.686225	0.0584138	0.29906								7.4	1.00074	1.0198	1.15707	-0.0190621
0.75	0.985126	0.682927	0.0599091	0.302199								7.5	1.0011	1.02702	1.15611	-0.0259253
0.76	0.984969	0.679654	0.0614201	0.305314								7.6	1.00143	1.03381	1.15482	-0.03238
0.77	0.984812	0.676407	0.0629467	0.308406								7.7	1.00174	1.04018	1.1532	-0.0384304
0.78	0.984657	0.673184	0.0644887	0.311473								7.8	1.00204	1.04612	1.15128	-0.0440815
0.79	0.984503	0.669987	0.0660461	0.314516								7.9	1.00231	1.05165	1.14907	-0.0493394
0.8	0.984351	0.666815	0.0676186	0.317536								8	1.00257	1.05678	1.14661	-0.0542104
0.81	0.984199	0.663667	0.0692063	0.320532								8.1	1.0028	1.06151	1.1439	-0.0587017
0.82	0.984049	0.660544	0.070809	0.323504								8.2	1.00302	1.06584	1.14096	-0.0628211
0.83	0.983899	0.657446	0.0724265	0.326453								8.3	1.00322	1.0698	1.13782	-0.066577
0.84	0.983751	0.654373	0.0740588	0.329378								8.4	1.0034	1.07338	1.13449	-0.0699781
0.85	0.983605	0.651325	0.0757056	0.33228								8.5	1.00356	1.0766	1.13099	-0.0730337
0.86	0.983459	0.648301	0.077367	0.335158								8.6	1.00371	1.07946	1.12734	-0.0757534
0.87	0.983314	0.645302	0.0790428	0.338012								8.7	1.00384	1.08199	1.12355	-0.0781472
0.88	0.983171	0.642327	0.0807329	0.340844								8.8	1.00395	1.08418	1.11965	-0.0802255
0.89	0.983029	0.639377	0.0824371	0.343652								8.9	1.00405	1.08605	1.11563	-0.0819988
0.9	0.982888	0.636452	0.0841554	0.346436								9	1.00413	1.08761	1.11153	-0.0834781
0.91	0.982748	0.63355	0.0858876	0.349198								9.1	1.0042	1.08888	1.10736	-0.0846742
0.92	0.982609	0.630673	0.0876335	0.351936								9.2	1.00426	1.08985	1.10313	-0.0855984
0.93	0.982472	0.627821	0.0893932	0.354651								9.3	1.0043	1.09056	1.09885	-0.0862621
0.94	0.982336	0.624992	0.0911665	0.357344								9.4	1.00432	1.091	1.09453	-0.0866764
0.95	0.9822	0.622188	0.0929532	0.360013								9.5	1.00434	1.09119	1.0902	-0.0868531
0.96	0.982066	0.619408	0.0947533	0.362659								9.6	1.00434	1.09115	1.08586	-0.0868034
0.97	0.981934	0.616651	0.0965666	0.365282								9.7	1.00434	1.09088	1.08152	-0.0865388
0.98	0.981802	0.613919	0.098393	0.367883								9.8	1.00432	1.09039	1.07719	-0.0860708
0.99	0.981671	0.611211	0.100232	0.37046								9.9	1.00429	1.0897	1.07289	-0.0854108
1	0.981542	0.608527	0.102085	0.373015								10	1.00426	1.08883	1.06862	-0.0845699
1.01	0.981413	0.605866	0.10395	0.375547												
1.02	0.981286	0.603229	0.105827	0.378057												
1.03	0.98116	0.600616	0.107718	0.380544												
1.04	0.981035	0.598027	0.10962	0.383008												
1.05	0.980911	0.595461	0.111536	0.38545												
1.06	0.980789	0.592919	0.113463	0.38787												
1.07	0.980667	0.5904	0.115402	0.390267												
1.08	0.980547	0.587905	0.117353	0.392642												
1.09	0.980428	0.585433	0.119317	0.394995												
1.1	0.980309	0.582984	0.121292	0.397326												
1.11	0.980192	0.580558	0.123278	0.399634												
1.12	0.980076	0.578156	0.125276	0.40192												
1.13	0.979961	0.575777	0.127286	0.404185												
1.14	0.979848	0.57342	0.129307	0.406427												
1.15	0.979735	0.571087	0.131339	0.408648												
1.16	0.979623	0.568777	0.133382	0.410847												
1.17	0.979513	0.566489	0.135437	0.413024												
1.18	0.979404	0.564225	0.137502	0.415179												
1.19	0.979295	0.561983	0.139578	0.417312												
1.2	0.979188	0.559763	0.141664	0.419424												
1.21	0.979082	0.557567	0.143761	0.421515												
1.22	0.978977	0.555393	0.145869	0.423584												
1.23	0.978873	0.553241	0.147987	0.425632												
1.24	0.97877	0.551112	0.150115	0.427658												
1.25	0.978668	0.549005	0.152253	0.429663												
1.26	0.978567	0.546921	0.154402	0.431647												
1.27	0.978468	0.544858	0.15656	0.433609												
1.28	0.978369	0.542818	0.158728	0.435551												
1.29	0.978271	0.5408	0.160906	0.437471												
1.3	0.978175	0.538804	0.163093	0.439371												
1.31	0.978079	0.53683	0.16529	0.441249												
1.32	0.977985	0.534878	0.167496	0.443107												
1.33	0.977891	0.532948	0.169712	0.444944												
1.34	0.977799	0.531039	0.171936	0.44676												
1.35	0.977708	0.529152	0.17417	0.448556												
1.36	0.977617	0.527287	0.176413	0.45033												
1.37	0.977528	0.525443	0.178665	0.452085												
1.38	0.97744	0.523621	0.180925	0.453819												
1.39	0.977353	0.52182	0.183194	0.455532												
1.4	0.977266	0.520041	0.185472	0.457225												
1.41	0.977181	0.518283	0.187758	0.458898												
1.42	0.977097	0.516546	0.190052	0.460551												
1.43	0.977014	0.514831	0.192355	0.462183												
1.44	0.976932	0.513136	0.194666	0.463796												
1.45	0.976851	0.511463	0.196985	0.465388												
1.46	0.976771	0.50981	0.199312	0.46696												
1.47	0.976692	0.508179	0.201647	0.468513												
1.48	0.976613	0.506568	0.203989	0.470046												
1.49	0.976536	0.504978	0.20634	0.471558												
1.5	0.97646	0.503409	0.208697	0.473052												
1.51	0.976385	0.50186	0.211063	0.474525												
1.52	0.976311	0.500332	0.213435	0.475979												
1.53	0.976238	0.498824	0.215815	0.477414												
1.54	0.976165	0.497337	0.218202	0.478829												
1.55	0.976094	0.49587	0.220596	0.480224												
1.56	0.976024	0.494423	0.222997	0.481601												
1.57	0.975955	0.492997	0.225405	0.482958												
1.58	0.975886	0.49159	0.22782	0.484296												
1.59	0.975819	0.490204	0.230242	0.485615												
1.6	0.975752	0.488838	0.23267	0.486914												
1.61	0.975687	0.487492	0.235104	0.488195												
1.62	0.975622	0.486165	0.237545	0.489457												
1.63	0.975559	0.484859	0.239993	0.4907												
1.64	0.975496	0.483572	0.242446	0.491925												
1.65	0.975435	0.482304	0.244906	0.49313												
1.66	0.975374	0.481057	0.247371	0.494317												
1.67	0.975314	0.479828	0.249843	0.495486												
1.68	0.975255	0.47862	0.25232	0.496636												
1.69	0.975197	0.47743	0.254804	0.497767												
1.7	0.97514	0.47626	0.257292	0.49888												
1.71	0.975084	0.475109	0.259787	0.499975												
1.72	0.975029	0.473977	0.262287	0.501052												
1.73	0.974975	0.472864	0.264792	0.50211												
1.74	0.974921	0.471771	0.267302	0.503151												
1.75	0.974869	0.470696	0.269818	0.504173												
1.76	0.974817	0.46964	0.272339	0.505177												
1.77	0.974766	0.468603	0.274865	0.506164												
1.78	0.974717	0.467584	0.277396	0.507132												
1.79	0.974668	0.466584	0.279931	0.508083												
1.8	0.97462	0.465603	0.282472	0.509017												
1.81	0.974573	0.46464	0.285017	0.509932												
1.82	0.974526	0.463696	0.287567	0.51083												
1.83	0.974481	0.46277	0.290121	0.511711												
1.84	0.974437	0.461862	0.292679	0.512574												
1.85	0.974393	0.460973	0.295242	0.51342												
1.86	0.97435	0.460101	0.297809	0.514249												
1.87	0.974308	0.459248	0.300381	0.51506												
1.88	0.974267	0.458413	0.302956	0.515855												
1.89	0.974227	0.457595	0.305535	0.516632												
1.9	0.974188	0.456796	0.308118	0.517392												
1.91	0.97415	0.456014	0.310705	0.518136												
1.92	0.974112	0.45525	0.313296	0.518862												
1.93	0.974075	0.454503	0.31589	0.519572												
1.94	0.974039	0.453774	0.318488	0.520265												
1.95	0.974004	0.453063	0.321089	0.520941												
1.96	0.97397	0.452369	0.323694	0.521601												
1.97	0.973937	0.451692	0.326302	0.522245												
1.98	0.973904	0.451032	0.328913	0.522872												
1.99	0.973872	0.45039	0.331528	0.523482												
2	0.973841	0.449765	0.334145	0.524077												
2.01	0.973811	0.449157	0.336766	0.524655												
2.02	0.973782	0.448565	0.339389	0.525217												
2.03	0.973753	0.447991	0.342015	0.525763												
2.04	0.973726	0.447433	0.344644	0.526292												
2.05	0.973699	0.446892	0.347275	0.526806												
2.06	0.973673	0.446368	0.349909	0.527304												
2.07	0.973647	0.445861	0.352546	0.527787												
2.08	0.973623	0.44537	0.355185	0.528253												
2.09	0.973599	0.444895	0.357826	0.528704												
2.1	0.973576	0.444437	0.360469	0.52914												
2.11	0.973554	0.443995	0.363115	0.529559												
2.12	0.973533	0.443569	0.365763	0.529964												
2.13	0.973512	0.443159	0.368413	0.530353												
2.14	0.973492	0.442766	0.371064	0.530727												
2.15	0.973473	0.442388	0.373718	0.531085												
2.16	0.973455	0.442026	0.376374	0.531428												
2.17	0.973437	0.441681	0.379031	0.531757												
2.18	0.973421	0.441351	0.381689	0.53207												
2.19	0.973405	0.441036	0.38435	0.532368												
2.2	0.973389	0.440738	0.387012	0.532652												
2.21	0.973375	0.440454	0.389675	0.53292												
2.22	0.973361	0.440187	0.39234	0.533174												
2.23	0.973348	0.439934	0.395005	0.533413												
2.24	0.973335	0.439697	0.397672	0.533638												
2.25	0.973324	0.439476	0.400341	0.533848												
2.26	0.973313	0.439269	0.40301	0.534044												
2.27	0.973303	0.439078	0.40568	0.534225												
2.28	0.973293	0.438901	0.408351	0.534392												
2.29	0.973285	0.43874	0.411023	0.534545												
2.3	0.973277	0.438593	0.413696	0.534684												
2.31	0.973269	0.438461	0.416369	0.534808												
2.32	0.973263	0.438344	0.419043	0.534918												
2.33	0.973257	0.438242	0.421718	0.535015												
2.34	0.973252	0.438154	0.424393	0.535098												
2.35	0.973247	0.438081	0.427069	0.535166												
2.36	0.973244	0.438022	0.429744	0.535221												
2.37	0.97324	0.437978	0.43242	0.535263												
2.38	0.973238	0.437947	0.435097	0.535291												
2.39	0.973236	0.437931	0.437773	0.535305												
2.4	0.973235	0.43793	0.44045	0.535306												
2.41	0.973235	0.437942	0.443126	0.535293												
2.42	0.973235	0.437968	0.445803	0.535267												
2.43	0.973236	0.438008	0.448479	0.535228												
2.44	0.973238	0.438062	0.451155	0.535176												
2.45	0.97324	0.43813	0.453831	0.53511												
2.46	0.973243	0.438211	0.456507	0.535032												
2.47	0.973247	0.438306	0.459182	0.53494												
2.48	0.973251	0.438415	0.461857	0.534836												
2.49	0.973256	0.438537	0.464531	0.534719												
2.5	0.973261	0.438673	0.467204	0.534589												
2.51	0.973267	0.438822	0.469877	0.534446												
2.52	0.973274	0.438984	0.472549	0.534291												
2.53	0.973282	0.439159	0.475221	0.534123												
2.54	0.97329	0.439347	0.477892	0.533943												
2.55	0.973299	0.439549	0.480561	0.53375												
2.56	0.973308	0.439763	0.48323	0.533545												
2.57	0.973318	0.43999	0.485898	0.533327												
2.58	0.973328	0.44023	0.488564	0.533098												
2.59	0.97334	0.440483	0.49123	0.532856												
2.6	0.973351	0.440749	0.493894	0.532602												
2.61	0.973364	0.441027	0.496557	0.532337												
2.62	0.973377	0.441318	0.499219	0.532059												
2.63	0.97339	0.441621	0.501879	0.53177												
2.64	0.973404	0.441936	0.504538	0.531468												
2.65	0.973419	0.442264	0.507195	0.531155												
2.66	0.973435	0.442604	0.509851	0.530831												
2.67	0.97345	0.442956	0.512505	0.530494												
2.68	0.973467	0.44332	0.515158	0.530147												
2.69	0.973484	0.443697	0.517808	0.529787												
2.7	0.973502	0.444085	0.520457	0.529417												
2.71	0.97352	0.444485	0.523104	0.529035												
2.72	0.973539	0.444897	0.52575	0.528642												
2.73	0.973558	0.445321	0.528393	0.528238												
2.74	0.973578	0.445756	0.531034	0.527822												
2.75	0.973599	0.446203	0.533673	0.527396												
2.76	0.97362	0.446661	0.53631	0.526959												
2.77	0.973641	0.447131	0.538945	0.52651												
2.78	0.973663	0.447612	0.541577	0.526051												
2.79	0.973686	0.448105	0.544208	0.525581												
2.8	0.973709	0.448608	0.546836	0.525101												
2.81	0.973733	0.449123	0.549461	0.52461												
2.82	0.973757	0.449649	0.552084	0.524108												
2.83	0.973782	0.450186	0.554705	0.523596												
2.84	0.973808	0.450734	0.557323	0.523073												
2.85	0.973833	0.451293	0.559938	0.52254												
2.86	0.97386	0.451863	0.562551	0.521997												
2.87	0.973887	0.452443	0.565161	0.521444												
2.88	0.973914	0.453034	0.567768	0.52088												
2.89	0.973942	0.453636	0.570372	0.520306												
2.9	0.97397	0.454248	0.572974	0.519723												
2.91	0.973999	0.45487	0.575573	0.519129												
2.92	0.974029	0.455503	0.578168	0.518526												
2.93	0.974059	0.456146	0.580761	0.517912												
2.94	0.974089	0.4568	0.58335	0.517289												
2.95	0.97412	0.457464	0.585937	0.516656												
2.96	0.974151	0.458137	0.58852	0.516014												
2.97	0.974183	0.458821	0.5911	0.515362												
2.98	0.974216	0.459515	0.593677	0.514701												
2.99	0.974249	0.460219	0.59625	0.51403												
3	0.974282	0.460932	0.598821	0.51335												
3.01	0.974316	0.461655	0.601387	0.51266												
3.02	0.97435	0.462388	0.603951	0.511962												
3.03	0.974385	0.463131	0.606511	0.511254												
3.04	0.97442	0.463883	0.609067	0.510537												
3.05	0.974455	0.464644	0.611619	0.509811												
3.06	0.974491	0.465415	0.614169	0.509076												
3.07	0.974528	0.466195	0.616714	0.508332												
3.08	0.974565	0.466985	0.619256	0.50758												
3.09	0.974602	0.467784	0.621793	0.506819												
3.1	0.97464	0.468592	0.624328	0.506048												
3.11	0.974678	0.469409	0.626858	0.50527												
3.12	0.974717	0.470235	0.629384	0.504483												
3.13	0.974756	0.47107	0.631907	0.503687												
3.14	0.974796	0.471913	0.634425	0.502883												
3.15	0.974836	0.472766	0.636939	0.50207												
3.16	0.974876	0.473627	0.63945	0.501249												
3.17	0.974917	0.474497	0.641956	0.50042												
3.18	0.974958	0.475376	0.644458	0.499583												
3.19	0.975	0.476263	0.646956	0.498737												
3.2	0.975042	0.477158	0.64945	0.497884												
3.21	0.975085	0.478062	0.651939	0.497022												
3.22	0.975127	0.478974	0.654424	0.496153												
3.23	0.975171	0.479895	0.656905	0.495276												
3.24	0.975214	0.480824	0.659381	0.494391												
3.25	0.975258	0.48176	0.661853	0.493498												
3.26	0.975303	0.482705	0.664321	0.492598												
3.27	0.975348	0.483658	0.666784	0.491689												
3.28	0.975393	0.484619	0.669242	0.490774												
3.29	0.975439	0.485588	0.671696	0.489851												
3.3	0.975484	0.486564	0.674145	0.48892												
3.31	0.975531	0.487549	0.67659	0.487982												
3.32	0.975578	0.488541	0.67903	0.487037												
3.33	0.975625	0.48954	0.681465	0.486085												
3.34	0.975672	0.490547	0.683895	0.485125												
3.35	0.97572	0.491562	0.686321	0.484158												
3.36	0.975768	0.492584	0.688742	0.483184												
3.37	0.975817	0.493613	0.691158	0.482204												
3.38	0.975865	0.494649	0.693569	0.481216												
3.39	0.975915	0.495693	0.695975	0.480221												
3.4	0.975964	0.496744	0.698376	0.47922												
3.41	0.976014	0.497802	0.700772	0.478212												
3.42	0.976064	0.498867	0.703163	0.477197												
3.43	0.976115	0.499939	0.705549	0.476175												
3.44	0.976166	0.501018	0.70793	0.475147												
3.45	0.976217	0.502104	0.710306	0.474113												
3.46	0.976269	0.503197	0.712676	0.473072												
3.47	0.97632	0.504296	0.715042	0.472024												
3.48	0.976373	0.505402	0.717402	0.470971												
3.49	0.976425	0.506515	0.719757	0.469911												
3.5	0.976478	0.507634	0.722106	0.468844												
3.51	0.976531	0.508759	0.72445	0.467772												
3.52	0.976585	0.509891	0.726789	0.466694												
3.53	0.976638	0.511029	0.729123	0.465609												
3.54	0.976693	0.512174	0.731451	0.464519												
3.55	0.976747	0.513325	0.733773	0.463422												
3.56	0.976802	0.514482	0.736091	0.46232												
3.57	0.976857	0.515645	0.738402	0.461212												
3.58	0.976912	0.516814	0.740708	0.460098												
3.59	0.976967	0.517989	0.743009	0.458979												
3.6	0.977023	0.51917	0.745304	0.457854												
3.61	0.977079	0.520356	0.747593	0.456723												
3.62	0.977136	0.521549	0.749876	0.455587												
3.63	0.977192	0.522747	0.752154	0.454445												
3.64	0.977249	0.523951	0.754427	0.453298												
3.65	0.977306	0.525161	0.756693	0.452146												
3.66	0.977364	0.526376	0.758954	0.450988												
3.67	0.977422	0.527597	0.761209	0.449825												
3.68	0.97748	0.528823	0.763458	0.448657												
3.69	0.977538	0.530054	0.765701	0.447484												
3.7	0.977597	0.531291	0.767939	0.446306												
3.71	0.977655	0.532533	0.77017	0.445122												
3.72	0.977714	0.53378	0.772396	0.443934												
3.73	0.977774	0.535032	0.774615	0.442741												
3.74	0.977833	0.53629	0.776829	0.441543												
3.75	0.977893	0.537552	0.779037	0.440341												
3.76	0.977953	0.53882	0.781239	0.439133												
3.77	0.978013	0.540092	0.783434	0.437921												
3.78	0.978074	0.541369	0.785624	0.436704												
3.79	0.978134	0.542651	0.787807	0.435483												
3.8	0.978195	0.543938	0.789985	0.434257												
3.81	0.978257	0.545229	0.792156	0.433027												
3.82	0.978318	0.546525	0.794321	0.431792												
3.83	0.97838	0.547826	0.79648	0.430553												
3.84	0.978441	0.549131	0.798633	0.42931												
3.85	0.978503	0.550441	0.800779	0.428063												
3.86	0.978566	0.551755	0.80292	0.426811												
3.87	0.978628	0.553073	0.805054	0.425555												
3.88	0.978691	0.554396	0.807182	0.424295												
3.89	0.978754	0.555722	0.809303	0.423031												
3.9	0.978817	0.557053	0.811418	0.421763												
3.91	0.97888	0.558389	0.813527	0.420492												
3.92	0.978944	0.559728	0.81563	0.419216												
3.93	0.979007	0.561071	0.817726	0.417936												
3.94	0.979071	0.562418	0.819815	0.416653												
3.95	0.979135	0.563769	0.821899	0.415366												
3.96	0.9792	0.565124	0.823975	0.414076												
3.97	0.979264	0.566483	0.826046	0.412781												
3.98	0.979329	0.567845	0.82811	0.411483												
3.99	0.979393	0.569211	0.830167	0.410182												
4	0.979458	0.570581	0.832218	0.408877												
4.01	0.979524	0.571954	0.834262	0.407569												
4.02	0.979589	0.573331	0.8363	0.406258												
4.03	0.979654	0.574712	0.838332	0.404943												
4.04	0.97972	0.576095	0.840356	0.403625												
4.05	0.979786	0.577482	0.842374	0.402303												
4.06	0.979852	0.578873	0.844386	0.400979												
4.07	0.979918	0.580267	0.846391	0.399651												
4.08	0.979984	0.581664	0.848389	0.398321												
4.09	0.980051	0.583064	0.850381	0.396987												
4.1	0.980117	0.584467	0.852366	0.395651												
4.11	0.980184	0.585873	0.854344	0.394311												
4.12	0.980251	0.587282	0.856315	0.392969												
4.13	0.980318	0.588695	0.85828	0.391623												
4.14	0.980385	0.59011	0.860238	0.390276												
4.15	0.980453	0.591528	0.86219	0.388925												
4.16	0.98052	0.592948	0.864134	0.387572												
4.17	0.980588	0.594372	0.866072	0.386216												
4.18	0.980655	0.595798	0.868003	0.384857												
4.19	0.980723	0.597227	0.869928	0.383496												
4.2	0.980791	0.598659	0.871845	0.382133												
4.21	0.980859	0.600093	0.873756	0.380767												
4.22	0.980928	0.601529	0.87566	0.379398												
4.23	0.980996	0.602968	0.877557	0.378028												
4.24	0.981064	0.60441	0.879447	0.376655												
4.25	0.981133	0.605853	0.88133	0.37528												
4.26	0.981202	0.607299	0.883206	0.373902												
4.27	0.98127	0.608748	0.885076	0.372523												
4.28	0.981339	0.610198	0.886938	0.371141												
4.29	0.981408	0.611651	0.888794	0.369757												
4.3	0.981478	0.613106	0.890643	0.368372												
4.31	0.981547	0.614563	0.892485	0.366984												
4.32	0.981616	0.616022	0.89432	0.365594												
4.33	0.981686	0.617483	0.896148	0.364203												
4.34	0.981755	0.618946	0.897969	0.36281												
4.35	0.981825	0.62041	0.899783	0.361414												
4.36	0.981894	0.621877	0.90159	0.360018												
4.37	0.981964	0.623345	0.90339	0.358619												
4.38	0.982034	0.624815	0.905183	0.357219												
4.39	0.982104	0.626287	0.906969	0.355817												
4.4	0.982174	0.627761	0.908748	0.354414												
4.41	0.982244	0.629236	0.91052	0.353009												
4.42	0.982314	0.630712	0.912285	0.351602												
4.43	0.982385	0.63219	0.914043	0.350194												
4.44	0.982455	0.63367	0.915794	0.348785												
4.45	0.982526	0.635151	0.917538	0.347374												
4.46	0.982596	0.636634	0.919275	0.345962												
4.47	0.982667	0.638117	0.921005	0.344549												
4.48	0.982737	0.639602	0.922728	0.343135												
4.49	0.982808	0.641089	0.924443	0.341719												
4.5	0.982879	0.642576	0.926152	0.340302												
4.51	0.982949	0.644065	0.927853	0.338885												
4.52	0.98302	0.645555	0.929548	0.337466												
4.53	0.983091	0.647046	0.931235	0.336046												
4.54	0.983162	0.648538	0.932915	0.334625												
4.55	0.983233	0.65003	0.934589	0.333203												
4.56	0.983304	0.651524	0.936255	0.33178												
4.57	0.983375	0.653019	0.937913	0.330356												
4.58	0.983447	0.654515	0.939565	0.328932												
