time V1 V2 V3 I
0 0 0 0 0
0.01 0.666667 0.666667 0 0
0.02 0.933086 0.926907 4.1194e-05 0.00617911
0.03 1.01254 0.997651 0.000154184 0.0148888
0.04 1.02244 0.997994 0.0003548 0.0244429
0.05 1.01408 0.979919 0.00064938 0.0341561
0.06 1.00502 0.961226 0.00103954 0.0437951
0.07 0.99907 0.945767 0.00152495 0.053303
0.08 0.995744 0.933066 0.00210461 0.0626788
0.09 0.993904 0.921972 0.00277737 0.071932
0.1 0.992732 0.911661 0.0035421 0.0810705
0.11 0.991801 0.901702 0.00439767 0.0900987
0.12 0.990933 0.891915 0.00534298 0.0990186
0.13 0.990073 0.882242 0.00637696 0.107831
0.14 0.989211 0.872674 0.00749852 0.116536
0.15 0.988348 0.863214 0.00870661 0.125135
0.16 0.987492 0.853865 0.0100002 0.133627
0.17 0.986643 0.844631 0.0113781 0.142012
0.18 0.985804 0.835512 0.0128393 0.150292
0.19 0.984976 0.82651 0.0143829 0.158466
0.2 0.984159 0.817624 0.0160076 0.166535
0.21 0.983352 0.808853 0.0177125 0.174499
0.22 0.982555 0.800197 0.0194965 0.182358
0.23 0.981769 0.791656 0.0213586 0.190113
0.24 0.980994 0.783229 0.0232978 0.197764
0.25 0.980229 0.774917 0.0253129 0.205312
0.26 0.979474 0.766717 0.027403 0.212757
0.27 0.978729 0.758631 0.029567 0.220099
0.28 0.977995 0.750657 0.0318039 0.227339
0.29 0.977271 0.742795 0.0341127 0.234476
0.3 0.976557 0.735045 0.0364924 0.241513
0.31 0.975854 0.727406 0.038942 0.248448
0.32 0.97516 0.719878 0.0414604 0.255282
0.33 0.974477 0.71246 0.0440466 0.262017
0.34 0.973803 0.705152 0.0466997 0.268651
0.35 0.97314 0.697954 0.0494186 0.275186
0.36 0.972486 0.690864 0.0522024 0.281622
0.37 0.971843 0.683883 0.0550501 0.28796
0.38 0.971209 0.67701 0.0579606 0.294199
0.39 0.970585 0.670244 0.0609331 0.300341
0.4 0.969971 0.663585 0.0639665 0.306386
0.41 0.969366 0.657032 0.0670599 0.312334
0.42 0.968771 0.650586 0.0702122 0.318186
0.43 0.968186 0.644244 0.0734226 0.323942
0.44 0.967611 0.638008 0.0766901 0.329603
0.45 0.967044 0.631876 0.0800137 0.335169
0.46 0.966488 0.625847 0.0833925 0.34064
0.47 0.965941 0.619922 0.0868256 0.346018
0.48 0.965403 0.6141 0.090312 0.351303
0.49 0.964874 0.60838 0.0938507 0.356495
0.5 0.964355 0.602761 0.0974409 0.361594
0.51 0.963845 0.597244 0.101082 0.366601
0.52 0.963344 0.591827 0.104772 0.371518
0.53 0.962853 0.58651 0.108511 0.376343
0.54 0.96237 0.581292 0.112298 0.381078
0.55 0.961897 0.576173 0.116132 0.385724
0.56 0.961432 0.571153 0.120012 0.39028
0.57 0.960976 0.56623 0.123936 0.394747
0.58 0.96053 0.561404 0.127906 0.399126
0.59 0.960092 0.556674 0.131918 0.403417
0.6 0.959663 0.552041 0.135973 0.407622
0.61 0.959242 0.547503 0.14007 0.411739
0.62 0.95883 0.54306 0.144207 0.415771
0.63 0.958427 0.53871 0.148384 0.419717
0.64 0.958033 0.534455 0.1526 0.423578
0.65 0.957646 0.530292 0.156855 0.427354
0.66 0.957269 0.526222 0.161147 0.431047
0.67 0.956899 0.522243 0.165475 0.434657
0.68 0.956538 0.518355 0.169839 0.438183
0.69 0.956186 0.514558 0.174238 0.441627
0.7 0.955841 0.510851 0.178671 0.44499
0.71 0.955505 0.507233 0.183137 0.448272
0.72 0.955177 0.503704 0.187635 0.451473
0.73 0.954857 0.500263 0.192166 0.454594
0.74 0.954545 0.49691 0.196726 0.457635
0.75 0.95424 0.493643 0.201317 0.460598
0.76 0.953944 0.490462 0.205938 0.463482
0.77 0.953656 0.487367 0.210586 0.466289
0.78 0.953375 0.484357 0.215263 0.469018
0.79 0.953102 0.481431 0.219966 0.471671
0.8 0.952837 0.478589 0.224695 0.474248
0.81 0.952579 0.475829 0.22945 0.47675
0.82 0.952329 0.473152 0.23423 0.479176
0.83 0.952086 0.470557 0.239033 0.481529
0.84 0.951851 0.468043 0.243859 0.483807
0.85 0.951623 0.46561 0.248708 0.486013
0.86 0.951402 0.463256 0.253579 0.488146
0.87 0.951189 0.460982 0.25847 0.490207
0.88 0.950983 0.458786 0.263382 0.492197
0.89 0.950784 0.456668 0.268314 0.494116
0.9 0.950592 0.454627 0.273264 0.495965
0.91 0.950407 0.452663 0.278232 0.497744
0.92 0.950229 0.450775 0.283218 0.499454
0.93 0.950058 0.448963 0.288221 0.501095
0.94 0.949894 0.447225 0.293239 0.502669
0.95 0.949736 0.445561 0.298273 0.504176
0.96 0.949586 0.44397 0.303322 0.505615
0.97 0.949442 0.442453 0.308385 0.506989
0.98 0.949304 0.441007 0.313461 0.508297
0.99 0.949174 0.439633 0.31855 0.509541
1 0.949049 0.43833 0.323651 0.51072
1.01 0.948931 0.437096 0.328764 0.511835
1.02 0.94882 0.435933 0.333888 0.512887
1.03 0.948714 0.434838 0.339021 0.513876
1.04 0.948615 0.433812 0.344164 0.514804
1.05 0.948523 0.432853 0.349317 0.51567
1.06 0.948436 0.431961 0.354477 0.516475
1.07 0.948356 0.431135 0.359646 0.51722
1.08 0.948281 0.430375 0.364821 0.517905
1.09 0.948212 0.429681 0.370003 0.518532
1.1 0.94815 0.42905 0.375191 0.5191
1.11 0.948093 0.428483 0.380384 0.51961
1.12 0.948042 0.42798 0.385583 0.520062
1.13 0.947997 0.427539 0.390785 0.520458
1.14 0.947957 0.427159 0.395991 0.520798
1.15 0.947923 0.426841 0.401201 0.521082
1.16 0.947895 0.426583 0.406412 0.521311
1.17 0.947872 0.426386 0.411626 0.521486
1.18 0.947854 0.426247 0.416842 0.521607
1.19 0.947842 0.426167 0.422058 0.521675
1.2 0.947835 0.426145 0.427275 0.52169
1.21 0.947834 0.426181 0.432491 0.521653
1.22 0.947837 0.426273 0.437707 0.521564
1.23 0.947846 0.426422 0.442922 0.521425
1.24 0.94786 0.426625 0.448135 0.521235
