time V1 V2 V3 I
0 1.81818 1.81818 0 0
0.2 0.330579 0.14876 0 0.181818
0.4 1.53118 1.33449 0.0181818 0.196694
0.6 0.547517 0.219193 0.0378512 0.328325
0.8 1.34037 0.993907 0.0706837 0.346459
1 0.690023 0.251242 0.10533 0.438781
1.2 1.21373 0.760356 0.149208 0.453372
1.4 0.783916 0.269429 0.194545 0.514487
1.6 1.13002 0.608049 0.245994 0.521975
1.8 0.846164 0.287983 0.298191 0.558181
2 1.07512 0.517962 0.354009 0.55716
2.2 0.887885 0.31433 0.409725 0.573555
2.4 1.03959 0.475573 0.467081 0.564016
2.6 0.916335 0.35147 0.523482 0.564865
2.8 1.0171 0.469438 0.579969 0.547664
3 0.93622 0.399609 0.634735 0.536611
3.2 1.0034 0.490303 0.688396 0.513098
3.4 0.950572 0.457283 0.739706 0.493289
3.6 0.995596 0.53055 0.789035 0.465047
3.8 0.961326 0.522128 0.83554 0.439198
4 0.991715 0.583859 0.87946 0.407857
4.2 0.9697 0.591404 0.920245 0.378297
4.4 0.9904 0.644987 0.958075 0.345413
4.6 0.976453 0.66235 0.992616 0.314104
4.8 0.99071 0.709633 1.02403 0.281077
5 0.982048 0.73241 1.05213 0.249638
5.2 0.991994 0.774328 1.0771 0.217665
5.4 0.986763 0.799374 1.09886 0.187388
5.6 0.993795 0.836356 1.1176 0.157439
5.8 0.990764 0.861449 1.13335 0.129315
6 0.995801 0.893676 1.14628 0.102125
6.2 0.994152 0.917287 1.15649 0.0768646
6.4 0.997797 0.944853 1.16418 0.0529441
6.6 0.996989 0.965977 1.16947 0.0310117
6.8 0.999644 0.988982 1.17257 0.0106622
7 0.999322 1.00702 1.17364 -0.00769693
7.2 1.00125 1.02561 1.17287 -0.024359
7.4 1.00119 1.04027 1.17043 -0.0390846
7.6 1.00258 1.05468 1.16653 -0.0521008
7.8 1.00262 1.06591 1.16132 -0.0632851
8 1.00361 1.07643 1.15499 -0.0728257
8.2 1.00367 1.08435 1.1477 -0.0806813
8.4 1.00433 1.09135 1.13964 -0.0870165
8.6 1.00437 1.09621 1.13093 -0.0918453
8.8 1.00478 1.10009 1.12175 -0.0953176
9 1.00476 1.10224 1.11222 -0.0974832
9.2 1.00497 1.10345 1.10247 -0.098481
9.4 1.00489 1.10327 1.09262 -0.0983829
9.6 1.00495 1.10226 1.08278 -0.0973181
9.8 1.0048 1.10017 1.07305 -0.0953701
10 1.00474 1.0974 1.06351 -0.0926582
