t x y error
7.11137 642 351.118 0.118121
7.16536 643 337.497 1.29728
7.21839 644 323.539 1.43927
7.27057 645 309.34 1.03992
7.32201 646 294.985 0.885362
7.37278 647 280.554 2.85392
7.42296 648 266.118 6.61777
7.47262 649 251.744 7.54416
7.52183 650 237.496 8.19649
7.57063 651 223.435 8.43518
7.6191 652 209.618 8.41841
7.66727 653 196.103 8.00279
7.71519 654 182.944 7.34393
7.76291 655 170.197 6.39699
7.81048 656 157.917 5.31714
7.85793 657 146.16 4.06009
7.90531 658 134.982 2.68249
7.95265 659 124.442 1.34245
8 660 114.6 0
8.0474 661 105.501 1.09949
8.09487 662 97.1233 2.04673
8.14244 663 89.4319 2.86812
8.19014 664 82.3911 3.53895
8.23801 665 75.9664 4.07361
8.28606 666 70.1243 4.46575
8.33433 667 64.8315 4.72847
8.38286 668 60.0555 4.8645
8.43167 669 55.7636 4.8664
8.4808 670 51.9233 4.75671
8.5303 671 48.5018 4.53822
8.58019 672 45.4658 4.21416
8.63054 673 42.7816 3.79845
8.68137 674 40.414 3.31598
8.73275 675 38.327 2.77296
8.78473 676 36.4827 2.18725
8.83737 677 34.8412 1.58882
8.89075 678 33.3598 1.00024
8.94493 679 31.9926 0.45735
9 680 30.69 0
9.05601 681 29.4081 0.348091
9.11275 682 28.1439 0.593893
9.16996 683 26.9051 0.745135
9.22731 684 25.6994 0.829355
9.28449 685 24.5335 0.863487
9.3412 686 23.4135 0.84348
9.39716 687 22.344 0.804033
9.45211 688 21.3285 0.748451
9.50587 689 20.3686 0.668642
9.55828 690 19.4652 0.595228
9.60922 691 18.6177 0.517732
9.65864 692 17.8248 0.434803
9.70651 693 17.0844 0.364438
9.75282 694 16.3942 0.294196
9.79759 695 15.7514 0.231368
9.84086 696 15.1531 0.173121
9.88268 697 14.5966 0.116601
9.9231 698 14.079 0.0790128
9.96219 699 13.5977 0.0376632
10 700 13.15 0
10.0366 701 12.7334 0.0265815
10.0722 702 12.3448 0.0451912
10.1068 703 11.9814 0.0686079
10.1405 704 11.6408 0.0891558
10.1735 705 11.3212 0.108802
10.2058 706 11.0208 0.129227
10.2375 707 10.7381 0.141882
10.2686 708 10.472 0.158028
10.2992 709 10.2212 0.168767
10.3293 710 9.98493 0.185072
10.359 711 9.7622 0.199805
10.3883 712 9.55227 0.211731
10.4172 713 9.35446 0.222536
10.4458 714 9.16816 0.232836
10.474 715 8.99282 0.241184
10.502 716 8.82792 0.249084
10.5297 717 8.67301 0.255988
10.5571 718 8.52769 0.26031
10.5844 719 8.39157 0.263426
10.6114 720 8.26432 0.26468
10.6382 721 8.14561 0.264387
