t x y error
0 475 0.00654 0
0.04 476 0.0126365 0.0061475
0.08 477 0.0186738 0.0122368
0.12 478 0.0245928 0.0182088
0.16 479 0.0303342 0.0240042
0.2 480 0.0358388 0.0295628
0.24 481 0.0410476 0.0348266
0.28 482 0.0459012 0.0397362
0.32 483 0.0503406 0.0442326
0.36 484 0.0543065 0.0482555
0.4 485 0.0577398 0.0517458
0.44 486 0.0605812 0.0546462
0.48 487 0.0627717 0.0568947
0.52 488 0.0642519 0.0584349
0.56 489 0.0649627 0.0592047
0.6 490 0.064845 0.059147
0.64 491 0.0638396 0.0582026
0.68 492 0.0618872 0.0563112
0.72 493 0.0589287 0.0534137
0.76 494 0.054905 0.049452
0.8 495 0.0497567 0.0443657
0.84 496 0.0434248 0.0380958
0.88 497 0.0358501 0.0305841
0.92 498 0.0269733 0.0217703
0.96 499 0.0167354 0.0115954
1 500 0.005077 0
1.04 501 -0.00800885 4.89799
1.08 502 -0.022321 4.39568
1.12 503 -0.0376061 3.94639
1.16 504 -0.053611 3.54439
1.2 505 -0.0700823 3.18492
1.24 506 -0.0867667 2.86223
1.28 507 -0.103411 2.57459
1.32 508 -0.119762 2.31624
1.36 509 -0.135566 2.08543
1.4 510 -0.15057 1.87943
1.44 511 -0.164521 1.69548
1.48 512 -0.177165 1.53183
1.52 513 -0.18825 1.38575
1.56 514 -0.197521 1.25648
1.6 515 -0.204726 1.14127
1.64 516 -0.209611 1.03839
1.68 517 -0.211924 0.945076
1.72 518 -0.21141 0.85659
1.76 519 -0.207816 0.768284
1.8 520 -0.20089 0.67411
1.84 521 -0.190377 0.568323
1.88 522 -0.176025 0.447375
1.92 523 -0.157581 0.313619
1.96 524 -0.13479 0.16521
2 525 -0.1074 0
2.04 526 -0.0748896 0.17779
2.08 527 -0.0356655 0.363266
2.12 528 0.0121333 0.551567
2.16 529 0.070368 0.738632
2.2 530 0.1409 0.9211
2.24 531 0.225589 1.09541
2.28 532 0.326298 1.2597
2.32 533 0.444888 1.41011
2.36 534 0.583218 1.54478
2.4 535 0.743151 1.66085
2.44 536 0.926548 1.75745
2.48 537 1.13527 1.82973
2.52 538 1.37118 1.87882
