t x y error
0 475 0.00654 0
0.00666667 476 4.60328 4.59679
0.0133333 477 9.19961 9.19317
0.02 478 13.7951 13.7887
0.0266667 479 18.3894 18.3831
0.0333333 480 22.9821 22.9758
0.04 481 27.5728 27.5665
0.0466667 482 32.161 32.1548
0.0533333 483 36.7464 36.7403
0.06 484 41.3285 41.3224
0.0666667 485 45.907 45.901
0.0733333 486 50.4814 50.4755
0.08 487 55.0514 55.0455
0.0866667 488 59.6164 59.6106
0.0933333 489 64.1763 64.1705
0.1 490 68.7304 68.7247
0.106667 491 73.2784 73.2728
0.113333 492 77.82 77.8144
0.12 493 82.3547 82.3491
0.126667 494 86.882 86.8766
0.133333 495 91.4017 91.3963
0.14 496 95.9132 95.9079
0.146667 497 100.416 100.411
0.153333 498 104.91 104.905
0.16 499 109.395 109.39
0.166667 500 113.87 113.865
0.173333 501 118.335 123.241
0.18 502 122.789 127.207
0.186667 503 127.233 131.217
0.193333 504 131.665 135.263
0.2 505 136.085 139.34
0.206667 506 140.493 143.442
0.213333 507 144.888 147.566
0.22 508 149.271 151.707
0.226667 509 153.64 155.861
0.233333 510 157.995 160.025
0.24 511 162.337 164.197
0.246667 512 166.663 168.372
0.253333 513 170.975 172.549
0.26 514 175.271 176.725
0.266667 515 179.551 180.897
0.273333 516 183.815 185.063
0.28 517 188.062 189.219
0.286667 518 192.293 193.361
0.293333 519 196.506 197.482
0.3 520 200.701 201.576
0.306667 521 204.877 205.636
0.313333 522 209.036 209.659
0.32 523 213.175 213.646
0.326667 524 217.294 217.594
0.333333 525 221.394 221.501
0.34 526 225.473 225.37
0.346667 527 229.532 229.205
0.353333 528 233.57 233.006
0.36 529 237.586 236.777
0.366667 530 241.58 240.518
0.373333 531 245.552 244.231
0.38 532 249.501 247.915
0.386667 533 253.427 251.572
0.393333 534 257.33 255.202
0.4 535 261.208 258.804
0.406667 536 265.063 262.379
0.413333 537 268.892 265.927
0.42 538 272.696 269.446
0.426667 539 276.475 272.939
0.433333 540 280.228 276.403
0.44 541 283.954 279.838
0.446667 542 287.654 283.245
0.453333 543 291.327 286.623
0.46 544 294.971 289.969
0.466667 545 298.588 293.285
0.473333 546 302.177 296.494
0.48 547 305.736 299.739
0.486667 548 309.267 302.944
0.493333 549 312.768 306.108
0.5 550 316.239 309.239
0.506667 551 319.679 312.315
0.513333 552 323.088 315.345
0.52 553 326.467 318.329
0.526667 554 329.813 321.259
0.533333 555 333.128 324.138
0.54 556 336.41 326.958
0.546667 557 339.659 329.716
0.553333 558 342.875 332.405
0.56 559 346.058 335.028
0.566667 560 349.206 337.566
0.573333 561 352.32 340.02
0.58 562 355.399 342.369
0.586667 563 358.442 344.602
0.593333 564 361.45 346.69
0.6 565 364.422 348.592
0.606667 566 367.357 350.227
0.613333 567 370.255 351.475
0.62 568 373.116 352.006
0.626667 569 375.94 350.85
0.633333 570 378.725 351.175
0.64 571 381.471 352.651
0.646667 572 384.179 353.969
0.653333 573 386.847 354.947
0.66 574 389.476 339.986
0.666667 575 392.064 322.834
0.673333 576 394.612 318.272
0.68 577 397.119 315.659
0.686667 578 399.584 312.304
0.693333 579 402.008 307.698
0.7 580 404.389 301.989
0.706667 581 406.728 295.528
0.713333 582 409.024 288.324
0.72 583 411.276 280.476
0.726667 584 413.485 272.285
0.733333 585 415.649 263.449
0.74 586 417.769 254.369
0.746667 587 419.843 244.843
0.753333 588 421.873 234.973
0.76 589 423.856 225.556
0.766667 590 425.793 221.093
0.773333 591 427.684 215.684
0.78 592 429.527 209.827
0.786667 593 431.323 203.723
0.793333 594 433.071 197.571
0.8 595 434.771 191.371
0.806667 596 436.422 185.122
0.813333 597 438.024 178.824
0.82 598 439.576 172.676
0.826667 599 441.079 166.779
0.833333 600 442.531 160.931
0.84 601 443.933 142.533
0.846667 602 445.283 135.983
0.853333 603 446.582 129.682
0.86 604 447.829 123.529
0.866667 605 449.024 117.424
0.873333 606 450.166 111.466
0.88 607 451.254 105.354
0.886667 608 452.289 98.4895
0.893333 609 453.271 86.8707
0.9 610 454.198 80.1975
0.906667 611 455.07 74.8696
0.913333 612 455.886 69.7865
0.92 613 456.648 65.1478
0.926667 614 457.353 60.7531
0.933333 615 458.002 56.602
0.94 616 458.594 49.4941
0.946667 617 459.129 43.829
0.953333 618 459.606 36.9063
0.96 619 460.026 21.4256
0.966667 620 460.386 18.7864
0.973333 621 460.688 14.4884
0.98 622 460.931 10.3312
0.986667 623 461.114 6.6143
0.993333 624 461.237 3.13738
1 625 461.3 0
1.00667 626 461.302 0.601896
1.01333 627 461.243 4.64334
1.02 628 461.125 7.82473
1.02667 629 460.946 10.4465
1.03333 630 460.709 12.809
1.04 631 460.413 15.3127
1.04667 632 460.058 18.1579
1.05333 633 459.645 21.6451
1.06 634 459.175 26.0748
1.06667 635 458.647 31.7472
1.07333 636 458.063 38.9628
1.08 637 457.422 47.322
1.08667 638 456.725 56.8252
1.09333 639 455.973 67.1728
1.1 640 455.165 78.2653
1.10667 641 454.303 90.003
1.11333 642 453.386 102.386
1.12 643 452.416 116.216
1.12667 644 451.391 129.291
1.13333 645 450.314 142.014
1.14 646 449.184 155.084
1.14667 647 448.001 170.301
1.15333 648 446.767 187.267
1.16 649 445.481 201.281
1.16667 650 444.144 214.844
1.17333 651 442.756 227.756
1.18 652 441.318 240.118
1.18667 653 439.83 251.73
1.19333 654 438.293 262.693
1.2 655 436.706 272.906
1.20667 656 435.071 282.471
1.21333 657 433.387 291.287
1.22 658 431.656 299.356
1.22667 659 429.877 306.777
1.23333 660 428.051 313.451
1.24 661 426.179 319.579
1.24667 662 424.26 325.09
1.25333 663 422.295 329.995
1.26 664 420.285 334.355
1.26667 665 418.23 338.19
1.27333 666 416.13 341.54
1.28 667 413.986 344.426
1.28667 668 411.798 346.878
1.29333 669 409.567 348.937
1.3 670 407.292 350.612
1.30667 671 404.975 351.935
1.31333 672 402.616 352.936
1.32 673 400.216 353.636
1.32667 674 397.773 354.043
1.33333 675 395.29 354.19
1.34 676 392.766 354.096
1.34667 677 390.202 353.772
1.35333 678 387.598 353.238
1.36 679 384.955 352.505
1.36667 680 382.273 351.583
1.37333 681 379.553 350.493
1.38 682 376.794 349.244
1.38667 683 373.997 347.837
1.39333 684 371.164 346.294
1.4 685 368.293 344.623
1.40667 686 365.386 342.816
1.41333 687 362.442 340.902
1.42 688 359.463 338.883
1.42667 689 356.449 336.749
1.43333 690 353.4 334.53
1.44 691 350.316 332.216
1.44667 692 347.198 329.808
1.45333 693 344.047 327.327
1.46 694 340.862 324.762
1.46667 695 337.644 322.124
1.47333 696 334.394 319.414
1.48 697 331.112 316.632
1.48667 698 327.798 313.798
1.49333 699 324.453 310.893
1.5 700 321.077 307.927
1.50667 701 317.671 304.911
1.51333 702 314.235 301.845
1.52 703 310.769 298.719
1.52667 704 307.274 295.544
1.53333 705 303.75 292.32
1.54 706 300.197 289.047
1.54667 707 296.617 285.737
1.55333 708 293.009 282.379
1.56 709 289.374 278.984
1.56667 710 285.712 275.542
1.57333 711 282.024 272.062
1.58 712 278.309 268.545
1.58667 713 274.569 264.992
1.59333 714 270.805 261.404
1.6 715 267.015 257.781
1.60667 716 263.201 254.124
1.61333 717 259.363 250.434
1.62 718 255.501 246.713
1.62667 719 251.617 242.962
1.63333 720 247.709 239.18
1.64 721 243.779 235.369
1.64667 722 239.828 231.531
1.65333 723 235.855 227.665
1.66 724 231.86 223.772
1.66667 725 227.846 219.854
1.67333 726 223.81 215.91
1.68 727 219.755 211.942
1.68667 728 215.681 207.95
1.69333 729 211.587 203.934
1.7 730 207.475 199.897
1.70667 731 203.344 195.837
1.71333 732 199.196 191.756
1.72 733 195.03 187.655
1.72667 734 190.847 183.533
1.73333 735 186.648 179.392
1.74 736 182.432 175.232
1.74667 737 178.2 171.027
1.75333 738 173.953 166.792
1.76 739 169.691 162.527
1.76667 740 165.415 158.237
1.77333 741 161.124 153.922
1.78 742 156.819 149.584
1.78667 743 152.501 145.225
1.79333 744 148.17 140.846
1.8 745 143.827 136.449
1.80667 746 139.471 132.034
1.81333 747 135.104 127.604
1.82 748 130.725 123.157
1.82667 749 126.335 118.697
1.83333 750 121.935 114.224
1.84 751 117.524 109.738
1.84667 752 113.104 105.24
1.85333 753 108.674 100.732
1.86 754 104.236 96.2138
1.86667 755 99.7888 91.6858
1.87333 756 95.3337 87.1487
1.88 757 90.8708 82.6038
1.88667 758 86.4007 78.0507
1.89333 759 81.9236 73.4906
1.9 760 77.4401 68.9251
1.90667 761 72.9505 64.3525
1.91333 762 68.4552 59.7752
1.92 763 63.9546 55.1926
1.92667 764 59.4492 50.6062
1.93333 765 54.9393 46.0153
1.94 766 50.4253 41.4213
1.94667 767 45.9077 36.8247
1.95333 768 41.3868 32.2258
1.96 769 36.8631 27.6241
1.96667 770 32.337 23.021
1.97333 771 27.8088 18.4178
1.98 772 23.279 13.813
1.98667 773 18.748 9.20804
1.99333 774 14.2162 4.60322
2 775 9.684 0
