t x y error
3.56 653 259.592 71.4921
3.58 654 248.544 72.9441
3.6 655 237.454 73.6538
3.62 656 226.344 73.7436
3.64 657 215.236 73.1357
3.66 658 204.152 71.8525
3.68 659 193.116 70.0161
3.7 660 182.149 67.5489
3.72 661 171.273 64.6732
3.74 662 160.511 61.3413
3.76 663 149.885 57.5854
3.78 664 139.418 53.4879
3.8 665 129.131 49.091
3.82 666 119.047 44.4571
3.84 667 109.188 39.6283
3.86 668 99.577 34.657
3.88 669 90.2355 29.6055
3.9 670 81.1861 24.5061
3.92 671 72.451 19.411
3.94 672 64.0526 14.3726
3.96 673 56.0131 9.43308
3.98 674 48.3548 4.62479
4 675 41.1 0
4.02 676 34.2656 4.40441
4.04 677 27.8467 8.58327
4.06 678 21.8332 12.5268
4.08 679 16.2148 16.2352
4.1 680 10.9813 19.7087
4.12 681 6.12242 22.9376
4.14 682 1.62798 25.922
4.16 683 -2.51226 28.6723
4.18 684 -6.30853 31.1785
4.2 685 -9.77105 33.4411
4.22 686 -12.9101 35.4801
4.24 687 -15.7358 37.2758
4.26 688 -18.2584 38.8384
4.28 689 -20.4882 40.1882
4.3 690 -22.4354 41.3054
4.32 691 -24.1102 42.2102
4.34 692 -25.5229 42.9129
4.36 693 -26.6836 43.4036
4.38 694 -27.6027 43.7027
4.4 695 -28.2902 43.8102
4.42 696 -28.7565 43.7365
4.44 697 -29.0118 43.4918
4.46 698 -29.0663 43.0663
4.48 699 -28.9302 42.4902
4.5 700 -28.6138 41.7638
4.52 701 -28.1273 40.8873
4.54 702 -27.4809 39.8709
4.56 703 -26.6848 38.7348
4.58 704 -25.7493 37.4793
4.6 705 -24.6847 36.1147
4.62 706 -23.501 34.651
4.64 707 -22.2086 33.0886
4.66 708 -20.8176 31.4476
4.68 709 -19.3384 29.7284
4.7 710 -17.7811 27.9511
4.72 711 -16.1559 26.1179
4.74 712 -14.4732 24.2372
4.76 713 -12.7431 22.3201
4.78 714 -10.9758 20.3768
4.8 715 -9.18153 18.4155
4.82 716 -7.37059 16.4476
4.84 717 -5.55318 14.4822
4.86 718 -3.73952 12.5275
4.88 719 -1.93984 10.5948
4.9 720 -0.164366 8.69337
4.92 721 1.57668 6.83332
4.94 722 3.27307 5.02393
4.96 723 4.91457 3.27543
4.98 724 6.49095 1.59705
5 725 7.992 0
5.02 726 9.40947 1.50947
5.04 727 10.7431 2.93008
5.06 728 11.9945 4.26355
5.08 729 13.1656 5.51258
5.1 730 14.2579 6.67989
5.12 731 15.2732 7.76619
5.14 732 16.2132 8.7732
5.16 733 17.0796 9.70461
5.18 734 17.8741 10.5601
5.2 735 18.5985 11.3425
5.22 736 19.2544 12.0544
5.24 737 19.8436 12.6706
5.26 738 20.3677 13.2067
5.28 739 20.8286 13.6646
5.3 740 21.2278 14.0498
5.32 741 21.5671 14.3651
5.34 742 21.8482 14.6132
5.36 743 22.0729 14.7969
5.38 744 22.2428 14.9188
5.4 745 22.3596 14.9816
5.42 746 22.4251 14.9881
5.44 747 22.441 14.941
5.46 748 22.4089 14.8409
5.48 749 22.3307 14.6927
5.5 750 22.2079 14.4969
5.52 751 22.0424 14.2564
5.54 752 21.8358 13.9718
5.56 753 21.5898 13.6478
5.58 754 21.3062 13.2842
5.6 755 20.9867 12.8837
5.62 756 20.6329 12.4479
5.64 757 20.2466 11.9796
5.66 758 19.8295 11.4795
5.68 759 19.3833 10.9503
5.7 760 18.9097 10.3947
5.72 761 18.4105 9.81247
5.74 762 17.8873 9.20727
5.76 763 17.3418 8.57981
5.78 764 16.7758 7.93282
5.8 765 16.191 7.26701
5.82 766 15.5891 6.58508
5.84 767 14.9718 5.88875
5.86 768 14.3407 5.17973
5.88 769 13.6977 4.45873
5.9 770 13.0445 3.72846
5.92 771 12.3826 2.99164
5.94 772 11.714 2.24797
5.96 773 11.0402 1.50017
5.98 774 10.3629 0.749938
6 775 9.684 0
