t x y error
0 475 0.00654 0
0.0666667 476 0.0917871 0.0852981
0.133333 477 0.174749 0.168312
0.2 478 0.253142 0.246758
0.266667 479 0.324679 0.318349
0.333333 480 0.387078 0.380802
0.4 481 0.438051 0.43183
0.466667 482 0.475315 0.46915
0.533333 483 0.496585 0.490477
0.6 484 0.499575 0.493524
0.666667 485 0.482001 0.476007
0.733333 486 0.441579 0.435644
0.8 487 0.376022 0.370145
0.866667 488 0.283046 0.277229
0.933333 489 0.160366 0.154608
1 490 0.005698 0
1.06667 491 -0.181925 0.187562
1.13333 492 -0.398192 0.403768
1.2 493 -0.637475 0.64299
1.26667 494 -0.894143 0.899596
1.33333 495 -1.16257 1.16796
1.4 496 -1.43712 1.44245
1.46667 497 -1.71217 1.71744
1.53333 498 -1.98209 1.98729
1.6 499 -2.24125 2.24639
1.66667 500 -2.48402 2.4891
1.73333 501 -2.70477 2.20123
1.8 502 -2.89787 1.52013
1.86667 503 -3.0577 0.926302
1.93333 504 -3.17862 0.419383
2 505 -3.255 0
2.06667 506 -3.28289 0.333891
2.13333 507 -3.26503 0.587026
2.2 508 -3.20581 0.769813
2.26667 509 -3.10966 0.888662
2.33333 510 -2.98098 0.950982
2.4 511 -2.82418 0.96418
2.46667 512 -2.64367 0.934667
2.53333 513 -2.44385 0.869851
2.6 514 -2.22914 0.775141
2.66667 515 -2.00395 0.657946
2.73333 516 -1.77267 0.524674
2.8 517 -1.53973 0.382734
2.86667 518 -1.30954 0.241536
2.93333 519 -1.08649 0.110389
3 520 -0.875 0
3.06667 521 -0.678148 0.0805516
3.13333 522 -0.493688 0.129712
3.2 523 -0.318043 0.153157
3.26667 524 -0.147636 0.152364
3.33333 525 0.0211091 0.128509
3.4 526 0.191769 0.088869
3.46667 527 0.36792 0.0403201
3.53333 528 0.553139 0.0105609
3.6 529 0.751002 0.0579976
3.66667 530 0.965087 0.0969134
3.73333 531 1.19897 0.122032
3.8 532 1.45622 0.129776
