t x y error
0 475 0.00654 0
0.0133333 476 -2.46263 2.46912
0.0266667 477 -4.92908 4.93551
0.04 478 -7.39005 7.39643
0.0533333 479 -9.84282 9.84915
0.0666667 480 -12.2847 12.2909
0.08 481 -14.7128 14.719
0.0933333 482 -17.1246 17.1308
0.106667 483 -19.5172 19.5233
0.12 484 -21.888 21.894
0.133333 485 -24.2341 24.2401
0.146667 486 -26.553 26.5589
0.16 487 -28.8417 28.8476
0.173333 488 -31.0977 31.1035
0.186667 489 -33.3181 33.3238
0.2 490 -35.5002 35.5059
0.213333 491 -37.6413 37.647
0.226667 492 -39.7387 39.7443
0.24 493 -41.7896 41.7951
0.253333 494 -43.7913 43.7968
0.266667 495 -45.7411 45.7465
0.28 496 -47.6362 47.6415
0.293333 497 -49.4739 49.4791
0.306667 498 -51.2514 51.2566
0.32 499 -52.9661 52.9712
0.333333 500 -54.6151 54.6202
0.346667 501 -56.1958 51.2898
0.36 502 -57.7055 53.2875
0.373333 503 -59.1413 55.1573
0.386667 504 -60.5006 56.9026
0.4 505 -61.7806 58.5256
0.413333 506 -62.9786 60.0296
0.426667 507 -64.0918 61.4138
0.44 508 -65.1176 62.6816
0.453333 509 -66.0531 63.8321
0.466667 510 -66.8957 64.8657
0.48 511 -67.6426 65.7826
0.493333 512 -68.2911 66.5821
0.506667 513 -68.8385 67.2645
0.52 514 -69.282 67.828
0.533333 515 -69.6188 68.2728
0.546667 516 -69.8464 68.5984
0.56 517 -69.9618 68.8048
0.573333 518 -69.9624 68.8944
0.586667 519 -69.8455 68.8694
0.6 520 -69.6082 68.7332
0.613333 521 -69.248 68.4893
0.626667 522 -68.762 68.1386
0.64 523 -68.1475 67.6763
0.653333 524 -67.4018 67.1018
0.666667 525 -66.5222 66.4148
0.68 526 -65.5058 65.6087
0.693333 527 -64.3501 64.6777
0.706667 528 -63.0522 63.6159
0.72 529 -61.6094 62.4184
0.733333 530 -60.0189 61.0809
0.746667 531 -58.2782 59.5992
0.76 532 -56.3843 57.9703
0.773333 533 -54.3346 56.1896
0.786667 534 -52.1264 54.2544
0.8 535 -49.7568 52.1608
0.813333 536 -47.2233 49.9073
0.826667 537 -44.5229 47.4879
0.84 538 -41.6531 44.9031
0.853333 539 -38.6111 42.1471
0.866667 540 -35.3941 39.2191
0.88 541 -31.9994 36.1154
0.893333 542 -28.4243 32.8333
0.906667 543 -24.666 29.37
0.92 544 -20.7219 25.7239
0.933333 545 -16.5891 21.8921
0.946667 546 -12.2649 17.9479
0.96 547 -7.74666 13.7437
0.973333 548 -3.03158 9.35458
0.986667 549 1.88306 4.77694
1 550 7 0
1.01333 551 12.3203 4.9563
1.02667 552 17.8383 10.0953
1.04 553 23.5468 15.4088
1.05333 554 29.4383 20.8843
1.06667 555 35.5056 26.5156
1.08 556 41.7415 32.2895
1.09333 557 48.1385 38.1955
1.10667 558 54.6894 44.2194
1.12 559 61.3869 50.3569
1.13333 560 68.2237 56.5837
1.14667 561 75.1924 62.8924
1.16 562 82.2858 69.2558
1.17333 563 89.4965 75.6565
1.18667 564 96.8172 82.0572
1.2 565 104.241 88.4107
1.21333 566 111.76 94.6296
1.22667 567 119.367 100.587
1.24 568 127.054 105.944
1.25333 569 134.816 109.726
1.26667 570 142.643 115.093
1.28 571 150.53 121.71
1.29333 572 158.468 128.258
1.30667 573 166.45 134.55
1.32 574 174.469 124.979
1.33333 575 182.518 113.288
1.34667 576 190.59 114.25
1.36 577 198.676 117.216
1.37333 578 206.77 119.49
1.38667 579 214.864 120.554
1.4 580 222.952 120.552
1.41333 581 231.026 119.826
1.42667 582 239.078 118.378
1.44 583 247.101 116.301
1.45333 584 255.088 113.888
1.46667 585 263.031 110.831
1.48 586 270.924 107.524
1.49333 587 278.759 103.759
1.50667 588 286.529 99.6289
1.52 589 294.226 95.9259
1.53333 590 301.843 97.1429
1.54667 591 309.373 97.3727
1.56 592 316.808 97.1079
1.57333 593 324.141 96.5413
1.58667 594 331.365 95.8655
1.6 595 338.473 95.0732
1.61333 596 345.457 94.1571
1.62667 597 352.31 93.11
1.64 598 359.024 92.1244
1.65333 599 365.593 91.2931
1.66667 600 372.009 90.4088
1.68 601 378.264 76.8642
1.69333 602 384.352 75.052
1.70667 603 390.265 73.3649
1.72 604 395.995 71.6955
1.73333 605 401.537 69.9365
1.74667 606 406.881 68.1807
1.76 607 412.021 66.1208
1.77333 608 416.949 63.1493
1.78667 609 421.659 55.2591
1.8 610 426.143 52.1428
1.81333 611 430.393 50.1932
1.82667 612 434.403 48.3028
1.84 613 438.164 46.6644
1.85333 614 441.671 45.0707
1.86667 615 444.914 43.5144
1.88 616 447.888 38.7882
1.89333 617 450.585 35.2848
1.90667 618 452.997 30.2968
1.92 619 455.117 16.5169
1.93333 620 456.938 15.338
1.94667 621 458.453 12.2525
1.96 622 459.653 9.0533
1.97333 623 460.533 6.03301
1.98667 624 461.084 2.98435
2 625 461.3 0
2.01333 626 461.175 0.47509
2.02667 627 460.714 4.11448
2.04 628 459.925 6.62548
2.05333 629 458.815 8.31538
2.06667 630 457.391 9.49147
2.08 631 455.661 10.5611
2.09333 632 453.631 11.7314
2.10667 633 451.31 13.3099
2.12 634 448.704 15.6038
