t x y error
0 475 0.00654 0
0.0239322 476 0.128426 0.121937
0.0478679 477 0.249798 0.243361
0.0718107 478 0.370145 0.363761
0.095764 479 0.488951 0.482621
0.119731 480 0.605699 0.599423
0.143717 481 0.719868 0.713647
0.167723 482 0.830936 0.824771
0.191754 483 0.938372 0.932264
0.215814 484 1.04164 1.03559
0.239906 485 1.14021 1.13421
0.264034 486 1.23352 1.22758
0.288202 487 1.32102 1.31515
0.312414 488 1.40215 1.39634
0.336674 489 1.47633 1.47058
0.360985 490 1.54298 1.53728
0.385351 491 1.6015 1.59586
0.409778 492 1.65127 1.64569
0.434269 493 1.69168 1.68616
0.458829 494 1.72207 1.71662
0.483462 495 1.7418 1.73641
0.508172 496 1.75019 1.74486
0.532965 497 1.74653 1.74127
0.557846 498 1.73012 1.72492
0.582819 499 1.70021 1.69507
0.60789 500 1.65603 1.65096
0.633065 501 1.5968 6.5028
0.658348 502 1.52168 5.93968
0.683746 503 1.42982 5.41382
0.709265 504 1.32034 4.91834
0.734911 505 1.1923 4.4473
0.760691 506 1.04474 3.99374
0.786612 507 0.876655 3.55466
0.812681 508 0.686979 3.12298
0.838906 509 0.474607 2.69561
0.865294 510 0.238374 2.26837
0.891854 511 -0.0229449 1.83706
0.918595 512 -0.310639 1.39836
0.945526 513 -0.626072 0.947928
0.972658 514 -0.970683 0.483317
1 515 -1.346 0
1.02756 516 -1.75258 0.504579
1.05533 517 -2.18669 1.02969
1.08331 518 -2.64329 1.57529
1.11148 519 -3.11706 2.14096
1.13984 520 -3.60242 2.72742
1.16836 521 -4.09352 3.33482
1.19704 522 -4.58431 3.96091
1.22587 523 -5.06853 4.59733
1.25482 524 -5.53975 5.23975
1.28389 525 -5.99137 5.88397
1.31306 526 -6.41671 6.51961
1.34232 527 -6.80899 7.13659
1.37164 528 -7.16141 7.72511
1.40101 529 -7.46716 8.27616
1.43041 530 -7.71948 8.78148
1.45982 531 -7.9117 9.2327
1.48924 532 -8.03725 9.62325
1.51863 533 -8.08976 9.94476
1.54798 534 -8.06303 10.191
1.57728 535 -7.95111 10.3551
1.60651 536 -7.74832 10.4323
1.63564 537 -7.44927 10.4143
1.66467 538 -7.04891 10.2989
1.69359 539 -6.54252 10.0785
1.72236 540 -5.92575 9.75075
1.75099 541 -5.19461 9.31061
1.77945 542 -4.34551 8.75451
1.80774 543 -3.37523 8.07923
1.83584 544 -2.28095 7.28295
1.86375 545 -1.06022 6.36322
1.89145 546 0.289022 5.39398
1.91893 547 1.76848 4.22852
1.94619 548 3.37951 2.94349
1.97321 549 5.12312 1.53688
2 550 7 0
2.02655 551 9.01039 1.64639
2.05287 552 11.1539 3.41089
2.07898 553 13.4301 5.29211
2.1049 554 15.8389 7.28492
2.13064 555 18.3804 9.39035
2.15622 556 21.0547 11.6027
2.18164 557 23.8622 13.9192
2.20692 558 26.8037 16.3337
2.23208 559 29.8798 18.8498
2.25711 560 33.0915 21.4515
2.28205 561 36.4398 24.1398
2.30688 562 39.9261 26.8961
2.33163 563 43.5518 29.7118
2.35631 564 47.3184 32.5584
2.38092 565 51.2277 35.3977
2.40547 566 55.2817 38.1517
2.42997 567 59.4824 40.7024
2.45443 568 63.8321 42.7221
2.47886 569 68.3332 43.2432
2.50327 570 72.9885 45.4385
2.52766 571 77.8007 48.9807
2.55205 572 82.7729 52.5629
2.57644 573 87.9083 56.0083
2.60084 574 93.2105 43.7205
2.62526 575 98.6831 29.4531
2.6497 576 104.33 27.9901
2.67418 577 110.156 28.6958
2.69871 578 116.165 28.8847
2.72329 579 122.362 28.0516
2.74793 580 128.752 26.3516
2.77265 581 135.34 24.1403
2.79744 582 142.134 21.4336
2.82233 583 149.138 18.3376
2.84732 584 156.359 15.1593
2.87242 585 163.806 11.6056
2.89764 586 171.484 8.08448
2.923 587 179.404 4.40408
2.9485 588 187.573 0.673347
2.97417 589 196.002 2.29813
3 590 204.7 0
3.02602 591 213.673 1.67333
3.05222 592 222.905 3.2054
3.07861 593 232.373 4.77313
3.10519 594 242.052 6.55226
3.13194 595 251.917 8.51727
3.15888 596 261.941 10.6414
3.18599 597 272.097 12.8966
3.21328 598 282.354 15.4537
3.24074 599 292.682 18.3822
3.26837 600 303.05 21.4501
3.29616 601 313.425 12.0246
3.32413 602 323.771 14.4714
3.35225 603 334.055 17.1551
3.38052 604 344.239 19.9391
3.40895 605 354.286 22.6856
3.43752 606 364.156 25.4558
3.46624 607 373.81 27.91
3.49509 608 383.207 29.4074
3.52408 609 392.306 25.9062
3.55318 610 401.064 27.064
3.58241 611 409.438 29.2376
3.61175 612 417.383 31.2831
3.64119 613 424.856 33.3562
3.67074 614 431.812 35.2119
3.70037 615 438.205 36.8053
3.73009 616 443.991 34.8909
3.75988 617 449.123 33.8234
3.78975 618 453.557 30.8574
3.81967 619 457.248 18.6477
3.84965 620 460.149 18.5495
3.87966 621 462.218 16.0183
3.90972 622 463.41 12.8105
3.9398 623 463.683 9.18283
3.96989 624 462.993 4.89308
4 625 461.3 0
4.03011 626 458.578 2.12164
4.0602 627 454.864 1.73608
4.09028 628 450.208 3.09151
4.12034 629 444.665 5.83525
4.15035 630 438.286 9.61381
4.18033 631 431.127 13.9732
4.21025 632 423.241 18.6588
4.24012 633 414.684 23.3159
4.26991 634 405.51 27.5896
4.29963 635 395.775 31.1251
4.32926 636 385.532 33.5678
4.35881 637 374.837 35.2633
4.38825 638 363.742 36.1577
4.41759 639 352.302 36.498
4.44682 640 340.568 36.3316
4.47592 641 328.593 35.707
4.50491 642 316.426 34.5736
4.53376 643 304.118 32.0819
4.56248 644 291.717 30.3834
4.59105 645 279.269 29.0311
4.61948 646 266.821 27.2793
4.64775 647 254.416 23.2836
4.67587 648 242.099 17.4009
4.70384 649 229.91 14.2899
4.73163 650 217.889 11.4107
4.75926 651 206.075 8.92484
4.78672 652 194.504 6.69553
4.81401 653 183.212 4.88755
4.84112 654 172.233 3.36726
4.86806 655 161.597 2.20258
4.89481 656 151.337 1.26302
4.92139 657 141.48 0.61963
4.94778 658 132.055 0.245014
4.97398 659 123.087 0.0132749
5 660 114.6 0
5.02583 661 106.61 0.00981516
5.0515 662 99.099 0.0710077
5.077 663 92.0438 0.256182
5.10236 664 85.4221 0.507896
5.12758 665 79.213 0.826967
5.15268 666 73.397 1.19297
5.17767 667 67.9556 1.60437
5.20256 668 62.8714 2.0486
5.22735 669 58.1278 2.50219
5.25207 670 53.7092 2.97083
5.27671 671 49.6006 3.43945
5.30129 672 45.7877 3.8923
5.32582 673 42.257 4.32302
5.3503 674 38.9954 4.73465
5.37474 675 35.9903 5.10975
5.39916 676 33.2296 5.4404
5.42356 677 30.7017 5.72828
5.44795 678 28.3953 5.96469
5.47234 679 26.2994 6.1506
5.49673 680 24.4033 6.28667
5.52114 681 22.6967 6.36333
5.54557 682 21.1692 6.38076
5.57003 683 19.811 6.34898
5.59453 684 18.6122 6.25782
5.61908 685 17.563 6.10702
5.64369 686 16.6538 5.91621
5.66837 687 15.875 5.66495
5.69312 688 15.2172 5.36281
5.71795 689 14.6707 5.02933
5.74289 690 14.2259 4.64412
5.76792 691 13.8732 4.22685
5.79308 692 13.6027 3.78732
5.81836 693 13.4045 3.31549
5.84378 694 13.2685 2.8315
5.86936 695 13.1842 2.33578
5.8951 696 13.141 1.83903
5.92102 697 13.1277 1.35233
5.94713 698 13.1328 0.86716
5.97345 699 13.1445 0.415526
6 700 13.15 0
6.02679 701 13.1385 0.378536
6.05381 702 13.1082 0.71817
6.08107 703 13.0593 1.00934
6.10855 704 12.9926 1.26256
6.13625 705 12.9084 1.47839
6.16416 706 12.8075 1.65747
6.19226 707 12.6905 1.8105
6.22055 708 12.5583 1.92825
6.24901 709 12.4116 2.02156
6.27764 710 12.2513 2.08131
6.30641 711 12.0785 2.11649
6.33533 712 11.8941 2.13009
6.36436 713 11.6992 2.12222
6.39349 714 11.495 2.09399
6.42272 715 11.2826 2.04858
6.45202 716 11.0632 1.98621
6.48137 717 10.8381 1.90914
6.51076 718 10.6086 1.82065
6.54018 719 10.376 1.72103
6.56959 720 10.1416 1.61261
6.59899 721 9.90671 1.49671
6.62836 722 9.67263 1.37563
6.65768 723 9.4407 1.2507
6.68694 724 9.21219 1.12419
6.71611 725 8.98837 0.996373
6.74518 726 8.77048 0.87048
6.77413 727 8.5597 0.746701
6.80296 728 8.35719 0.626185
6.83164 729 8.16403 0.51103
6.86016 730 7.98128 0.40328
6.88852 731 7.80992 0.302922
6.91669 732 7.65088 0.210883
6.94467 733 7.50503 0.130026
6.97244 734 7.37315 0.0591534
7 735 7.256 0
7.02734 736 7.154 0.0459967
7.05447 737 7.06663 0.106365
7.0814 738 6.99317 0.167832
7.10815 739 6.93292 0.231084
7.13471 740 6.88523 0.292771
