time V1 V2 I
1.44 0.468271 0.584055 0.531729
1.45 0.46945 0.589366 0.53055
1.46 0.470669 0.594665 0.529331
1.47 0.471929 0.599952 0.528071
1.48 0.473229 0.605227 0.526771
1.49 0.474569 0.610488 0.525431
1.5 0.475948 0.615735 0.524052
1.51 0.477364 0.620969 0.522636
1.52 0.478819 0.626188 0.521181
1.53 0.480312 0.631392 0.519688
1.54 0.481841 0.636581 0.518159
1.55 0.483406 0.641755 0.516594
1.56 0.485007 0.646913 0.514993
1.57 0.486644 0.652055 0.513356
1.58 0.488315 0.65718 0.511685
1.59 0.490021 0.662288 0.509979
1.6 0.49176 0.667379 0.50824
1.61 0.493533 0.672453 0.506467
1.62 0.495339 0.677508 0.504661
1.63 0.497176 0.682546 0.502824
1.64 0.499046 0.687565 0.500954
1.65 0.500946 0.692565 0.499054
1.66 0.502878 0.697546 0.497122
1.67 0.50484 0.702507 0.49516
1.68 0.506831 0.707449 0.493169
1.69 0.508852 0.71237 0.491148
1.7 0.510901 0.717272 0.489099
1.71 0.512979 0.722152 0.487021
1.72 0.515084 0.727012 0.484916
1.73 0.517217 0.73185 0.482783
1.74 0.519377 0.736667 0.480623
1.75 0.521563 0.741463 0.478437
1.76 0.523774 0.746236 0.476226
1.77 0.526012 0.750987 0.473988
1.78 0.528274 0.755716 0.471726
1.79 0.53056 0.760421 0.46944
1.8 0.532871 0.765104 0.467129
1.81 0.535205 0.769764 0.464795
1.82 0.537562 0.7744 0.462438
1.83 0.539941 0.779013 0.460059
1.84 0.542343 0.783601 0.457657
1.85 0.544766 0.788166 0.455234
1.86 0.547211 0.792706 0.452789
1.87 0.549676 0.797221 0.450324
1.88 0.552161 0.801712 0.447839
1.89 0.554667 0.806178 0.445333
1.9 0.557191 0.810619 0.442809
1.91 0.559735 0.815034 0.440265
1.92 0.562297 0.819424 0.437703
1.93 0.564877 0.823788 0.435123
1.94 0.567475 0.828126 0.432525
1.95 0.57009 0.832438 0.42991
1.96 0.572722 0.836724 0.427278
1.97 0.57537 0.840984 0.42463
1.98 0.578034 0.845217 0.421966
1.99 0.580713 0.849423 0.419287
2 0.583408 0.853603 0.416592
2.01 0.586117 0.857755 0.413883
2.02 0.58884 0.86188 0.41116
2.03 0.591578 0.865978 0.408422
2.04 0.594328 0.870048 0.405672
2.05 0.597092 0.874091 0.402908
2.06 0.599868 0.878107 0.400132
2.07 0.602656 0.882094 0.397344
2.08 0.605457 0.886053 0.394543
2.09 0.608268 0.889985 0.391732
2.1 0.611091 0.893888 0.388909
2.11 0.613924 0.897763 0.386076
2.12 0.616767 0.901609 0.383233
2.13 0.619621 0.905428 0.380379
2.14 0.622483 0.909217 0.377517
2.15 0.625355 0.912978 0.374645
2.16 0.628236 0.91671 0.371764
2.17 0.631124 0.920413 0.368876
2.18 0.634021 0.924087 0.365979
2.19 0.636925 0.927733 0.363075
2.2 0.639837 0.931349 0.360163
2.21 0.642756 0.934936 0.357244
2.22 0.645681 0.938494 0.354319
2.23 0.648612 0.942022 0.351388
2.24 0.651549 0.945521 0.348451
2.25 0.654491 0.948991 0.345509
2.26 0.657438 0.952432 0.342562
2.27 0.660391 0.955842 0.339609
2.28 0.663347 0.959224 0.336653
2.29 0.666308 0.962575 0.333692
2.3 0.669272 0.965898 0.330728
2.31 0.67224 0.96919 0.32776
2.32 0.675211 0.972453 0.324789
2.33 0.678185 0.975686 0.321815
2.34 0.681161 0.978889 0.318839
2.35 0.684139 0.982062 0.315861
2.36 0.687119 0.985206 0.312881
2.37 0.690101 0.98832 0.309899
2.38 0.693084 0.991404 0.306916
2.39 0.696067 0.994458 0.303933
2.4 0.699051 0.997483 0.300949
2.41 0.702036 1.00048 0.297964
2.42 0.70502 1.00344 0.29498
2.43 0.708004 1.00638 0.291996
2.44 0.710987 1.00928 0.289013
2.45 0.71397 1.01216 0.28603
2.46 0.716951 1.015 0.283049
2.47 0.719931 1.01782 0.280069
2.48 0.722909 1.0206 0.277091
2.49 0.725884 1.02336 0.274116
2.5 0.728858 1.02609 0.271142
2.51 0.731829 1.02878 0.268171
2.52 0.734797 1.03145 0.265203
2.53 0.737762 1.03409 0.262238
2.54 0.740723 1.03669 0.259277
2.55 0.743681 1.03927 0.256319
2.56 0.746635 1.04182 0.253365
2.57 0.749585 1.04434 0.250415
2.58 0.75253 1.04683 0.24747
2.59 0.755471 1.04929 0.244529
2.6 0.758406 1.05172 0.241594
2.61 0.761337 1.05412 0.238663
2.62 0.764262 1.05649 0.235738
2.63 0.767181 1.05884 0.232819
2.64 0.770095 1.06115 0.229905
2.65 0.773002 1.06343 0.226998
2.66 0.775903 1.06569 0.224097
2.67 0.778798 1.06792 0.221202
2.68 0.781686 1.07011 0.218314
2.69 0.784566 1.07228 0.215434
2.7 0.78744 1.07442 0.21256
2.71 0.790306 1.07653 0.209694
2.72 0.793164 1.07862 0.206836
2.73 0.796015 1.08067 0.203985
2.74 0.798857 1.0827 0.201143
2.75 0.801691 1.08469 0.198309
2.76 0.804517 1.08666 0.195483
2.77 0.807334 1.0886 0.192666
2.78 0.810142 1.09052 0.189858
2.79 0.812942 1.0924 0.187058
2.8 0.815731 1.09426 0.184269
2.81 0.818512 1.09609 0.181488
2.82 0.821283 1.09789 0.178717
2.83 0.824044 1.09966 0.175956
2.84 0.826795 1.10141 0.173205
2.85 0.829536 1.10312 0.170464
2.86 0.832267 1.10482 0.167733
2.87 0.834987 1.10648 0.165013
2.88 0.837697 1.10812 0.162303
2.89 0.840395 1.10973 0.159605
2.9 0.843083 1.11131 0.156917
2.91 0.84576 1.11286 0.15424
2.92 0.848425 1.11439 0.151575
2.93 0.851079 1.11589 0.148921
2.94 0.853721 1.11737 0.146279
2.95 0.856352 1.11882 0.143648
2.96 0.858971 1.12024 0.141029
2.97 0.861577 1.12164 0.138423
2.98 0.864172 1.12301 0.135828
2.99 0.866754 1.12436 0.133246
3 0.869324 1.12568 0.130676
3.01 0.871881 1.12697 0.128119
3.02 0.874426 1.12824 0.125574
3.03 0.876957 1.12948 0.123043
3.04 0.879476 1.1307 0.120524
3.05 0.881982 1.13189 0.118018
3.06 0.884474 1.13306 0.115526
3.07 0.886953 1.1342 0.113047
3.08 0.889419 1.13532 0.110581
3.09 0.891871 1.13642 0.108129
3.1 0.89431 1.13748 0.10569
3.11 0.896735 1.13853 0.103265
3.12 0.899146 1.13955 0.100854
3.13 0.901543 1.14055 0.0984571
3.14 0.903926 1.14152 0.0960741
3.15 0.906295 1.14247 0.0937053
3.16 0.908649 1.14339 0.0913507
3.17 0.91099 1.1443 0.0890105
3.18 0.913315 1.14517 0.0866846
3.19 0.915627 1.14603 0.0843733
3.2 0.917923 1.14686 0.0820766
3.21 0.920205 1.14767 0.0797946
3.22 0.922473 1.14846 0.0775274
3.23 0.924725 1.14922 0.075275
3.24 0.926963 1.14996 0.0730375
3.25 0.929185 1.15068 0.070815
3.26 0.931392 1.15138 0.0686076
3.27 0.933585 1.15205 0.0664153
3.28 0.935762 1.15271 0.0642382
3.29 0.937924 1.15334 0.0620764
3.3 0.94007 1.15395 0.0599299
3.31 0.942201 1.15454 0.0577988
3.32 0.944317 1.15511 0.0556832
3.33 0.946417 1.15565 0.0535831
3.34 0.948501 1.15618 0.0514985
3.35 0.95057 1.15668 0.0494296
3.36 0.952624 1.15717 0.0473763
3.37 0.954661 1.15763 0.0453388
3.38 0.956683 1.15807 0.043317
3.39 0.958689 1.1585 0.041311
3.4 0.960679 1.1589 0.0393209
3.41 0.962653 1.15928 0.0373466
3.42 0.964612 1.15965 0.0353883
3.43 0.966554 1.15999 0.033446
3.44 0.96848 1.16032 0.0315196
3.45 0.970391 1.16062 0.0296093
3.46 0.972285 1.16091 0.027715
3.47 0.974163 1.16118 0.0258368
3.48 0.976025 1.16142 0.0239748
3.49 0.977871 1.16165 0.0221289
3.5 0.979701 1.16187 0.0202991
3.51 0.981514 1.16206 0.0184856
3.52 0.983312 1.16224 0.0166882
3.53 0.985093 1.16239 0.0149071
3.54 0.986858 1.16253 0.0131422
3.55 0.988606 1.16266 0.0113936
3.56 0.990339 1.16276 0.00966118
3.57 0.992055 1.16285 0.00794508
3.58 0.993755 1.16292 0.00624526
3.59 0.995438 1.16298 0.00456174
3.6 0.997105 1.16301 0.00289452
3.61 0.998756 1.16303 0.00124359
3.62 1.00039 1.16304 -0.00039103
3.63 1.00201 1.16303 -0.00200935
3.64 1.00361 1.163 -0.00361136
3.65 1.0052 1.16295 -0.00519708
3.66 1.00677 1.16289 -0.0067665
3.67 1.00832 1.16282 -0.00831963
3.68 1.00986 1.16273 -0.00985648
3.69 1.01138 1.16262 -0.0113771
3.7 1.01288 1.1625 -0.0128814
3.71 1.01437 1.16236 -0.0143694
3.72 1.01584 1.16221 -0.0158413
3.73 1.0173 1.16205 -0.0172969
3.74 1.01874 1.16187 -0.0187363
3.75 1.02016 1.16167 -0.0201595
3.76 1.02157 1.16146 -0.0215666
3.77 1.02296 1.16124 -0.0229575
3.78 1.02433 1.161 -0.0243323
3.79 1.02569 1.16075 -0.0256909
3.8 1.02703 1.16049 -0.0270335
3.81 1.02836 1.16021 -0.0283601
3.82 1.02967 1.15992 -0.0296706
3.83 1.03097 1.15962 -0.0309652
3.84 1.03224 1.1593 -0.0322438
3.85 1.03351 1.15898 -0.0335064
3.86 1.03475 1.15863 -0.0347532
3.87 1.03598 1.15828 -0.0359841
3.88 1.0372 1.15792 -0.0371991
3.89 1.0384 1.15754 -0.0383984
3.9 1.03958 1.15715 -0.0395819
3.91 1.04075 1.15675 -0.0407497
3.92 1.0419 1.15633 -0.0419019
3.93 1.04304 1.15591 -0.0430384
3.94 1.04416 1.15547 -0.0441593
3.95 1.04526 1.15502 -0.0452646
3.96 1.04635 1.15457 -0.0463545
3.97 1.04743 1.1541 -0.0474289
3.98 1.04849 1.15362 -0.0484879
3.99 1.04953 1.15313 -0.0495315
4 1.05056 1.15263 -0.0505599
4.01 1.05157 1.15212 -0.0515729
4.02 1.05257 1.1516 -0.0525708
4.03 1.05355 1.15107 -0.0535534
4.04 1.05452 1.15053 -0.054521
4.05 1.05547 1.14998 -0.0554735
4.06 1.05641 1.14942 -0.0564111
4.07 1.05733 1.14885 -0.0573337
4.08 1.05824 1.14827 -0.0582414
4.09 1.05913 1.14768 -0.0591342
4.1 1.06001 1.14709 -0.0600124
4.11 1.06088 1.14648 -0.0608758
4.12 1.06172 1.14587 -0.0617245
4.13 1.06256 1.14525 -0.0625587
4.14 1.06338 1.14462 -0.0633783
4.15 1.06418 1.14398 -0.0641835
4.16 1.06497 1.14333 -0.0649743
4.17 1.06575 1.14268 -0.0657507
4.18 1.06651 1.14202 -0.0665129
4.19 1.06726 1.14135 -0.0672609
4.2 1.06799 1.14067 -0.0679947
4.21 1.06871 1.13999 -0.0687145
4.22 1.06942 1.1393 -0.0694203
4.23 1.07011 1.1386 -0.0701121
4.24 1.07079 1.1379 -0.0707901
4.25 1.07145 1.13719 -0.0714543
4.26 1.0721 1.13647 -0.0721048
4.27 1.07274 1.13574 -0.0727417
4.28 1.07336 1.13501 -0.0733649
4.29 1.07397 1.13428 -0.0739747
4.3 1.07457 1.13353 -0.074571
4.31 1.07515 1.13279 -0.075154
4.32 1.07572 1.13203 -0.0757237
4.33 1.07628 1.13127 -0.0762802
4.34 1.07682 1.13051 -0.0768235
4.35 1.07735 1.12974 -0.0773539
4.36 1.07787 1.12896 -0.0778712
4.37 1.07838 1.12818 -0.0783757
4.38 1.07887 1.12739 -0.0788673
4.39 1.07935 1.1266 -0.0793462
4.4 1.07981 1.1258 -0.0798124
4.41 1.08027 1.125 -0.0802661
4.42 1.08071 1.1242 -0.0807072
4.43 1.08114 1.12339 -0.081136
4.44 1.08155 1.12258 -0.0815524
4.45 1.08196 1.12176 -0.0819565
4.46 1.08235 1.12094 -0.0823484
4.47 1.08273 1.12011 -0.0827283
4.48 1.0831 1.11928 -0.0830962
4.49 1.08345 1.11845 -0.0834521
4.5 1.0838 1.11761 -0.0837962
4.51 1.08413 1.11677 -0.0841285
4.52 1.08445 1.11593 -0.0844491
4.53 1.08476 1.11509 -0.0847582
4.54 1.08506 1.11424 -0.0850557
4.55 1.08534 1.11338 -0.0853419
4.56 1.08562 1.11253 -0.0856166
4.57 1.08588 1.11167 -0.0858802
4.58 1.08613 1.11081 -0.0861325
4.59 1.08637 1.10995 -0.0863738
4.6 1.0866 1.10908 -0.0866041
4.61 1.08682 1.10822 -0.0868235
4.62 1.08703 1.10735 -0.087032
4.63 1.08723 1.10648 -0.0872298
4.64 1.08742 1.1056 -0.087417
4.65 1.08759 1.10473 -0.0875936
4.66 1.08776 1.10385 -0.0877598
4.67 1.08792 1.10297 -0.0879155
4.68 1.08806 1.10209 -0.088061
4.69 1.0882 1.10121 -0.0881962
4.7 1.08832 1.10033 -0.0883213
4.71 1.08844 1.09945 -0.0884364
4.72 1.08854 1.09856 -0.0885416
4.73 1.08864 1.09768 -0.0886369
4.74 1.08872 1.09679 -0.0887224
4.75 1.0888 1.0959 -0.0887982
4.76 1.08886 1.09501 -0.0888645
4.77 1.08892 1.09412 -0.0889212
4.78 1.08897 1.09323 -0.0889686
4.79 1.08901 1.09234 -0.0890066
4.8 1.08904 1.09145 -0.0890354
4.81 1.08906 1.09056 -0.089055
4.82 1.08907 1.08967 -0.0890656
4.83 1.08907 1.08878 -0.0890672
4.84 1.08906 1.08789 -0.08906
4.85 1.08904 1.087 -0.0890439
4.86 1.08902 1.08611 -0.0890191
4.87 1.08899 1.08522 -0.0889858
4.88 1.08894 1.08433 -0.0889439
4.89 1.08889 1.08344 -0.0888936
4.9 1.08883 1.08255 -0.0888349
4.91 1.08877 1.08167 -0.088768
4.92 1.08869 1.08078 -0.0886929
4.93 1.08861 1.07989 -0.0886097
4.94 1.08852 1.07901 -0.0885186
4.95 1.08842 1.07812 -0.0884195
4.96 1.08831 1.07724 -0.0883127
4.97 1.0882 1.07636 -0.0881981
4.98 1.08808 1.07547 -0.0880759
4.99 1.08795 1.07459 -0.0879461
5 1.08781 1.07371 -0.0878089
5.01 1.08766 1.07284 -0.0876642
5.02 1.08751 1.07196 -0.0875124
5.03 1.08735 1.07109 -0.0873533
5.04 1.08719 1.07021 -0.0871871
5.05 1.08701 1.06934 -0.0870139
5.06 1.08683 1.06847 -0.0868337
5.07 1.08665 1.06761 -0.0866467
5.08 1.08645 1.06674 -0.086453
5.09 1.08625 1.06588 -0.0862525
5.1 1.08605 1.06502 -0.0860455
