time V1 V2 I
0 1 0 0
0.01 1 0 0.01
0.02 0.99 0.0001 0.02
0.03 0.98 0.0003 0.029899
0.04 0.970101 0.00059899 0.039696
0.05 0.960304 0.00099595 0.049391
0.06 0.950609 0.00148986 0.0589841
0.07 0.941016 0.0020797 0.0684753
0.08 0.931525 0.00276445 0.0778647
0.09 0.922135 0.0035431 0.0871523
0.1 0.912848 0.00441462 0.0963382
0.11 0.903662 0.00537801 0.105423
0.12 0.894577 0.00643223 0.114405
0.13 0.885595 0.00757628 0.123287
0.14 0.876713 0.00880915 0.132067
0.15 0.867933 0.0101298 0.140746
0.16 0.859254 0.0115373 0.149324
0.17 0.850676 0.0130305 0.157801
0.18 0.842199 0.0146085 0.166178
0.19 0.833822 0.0162703 0.174454
0.2 0.825546 0.0180148 0.182629
0.21 0.817371 0.0198411 0.190704
0.22 0.809296 0.0217482 0.19868
0.23 0.80132 0.023735 0.206555
0.24 0.793445 0.0258005 0.214331
0.25 0.785669 0.0279438 0.222007
0.26 0.777993 0.0301639 0.229585
0.27 0.770415 0.0324598 0.237063
0.28 0.762937 0.0348304 0.244443
0.29 0.755557 0.0372748 0.251724
0.3 0.748276 0.0397921 0.258906
0.31 0.741094 0.0423811 0.265991
0.32 0.734009 0.045041 0.272978
0.33 0.727022 0.0477708 0.279868
0.34 0.720132 0.0505695 0.286661
0.35 0.713339 0.0534361 0.293356
0.36 0.706644 0.0563697 0.299955
0.37 0.700045 0.0593692 0.306458
0.38 0.693542 0.0624338 0.312865
0.39 0.687135 0.0655624 0.319176
0.4 0.680824 0.0687542 0.325392
0.41 0.674608 0.0720081 0.331512
0.42 0.668488 0.0753232 0.337538
0.43 0.662462 0.0786986 0.34347
0.44 0.65653 0.0821333 0.349308
0.45 0.650692 0.0856264 0.355052
0.46 0.644948 0.0891769 0.360702
0.47 0.639298 0.0927839 0.36626
0.48 0.63374 0.0964465 0.371725
0.49 0.628275 0.100164 0.377098
0.5 0.622902 0.103935 0.382379
0.51 0.617621 0.107759 0.387569
0.52 0.612431 0.111634 0.392667
0.53 0.607333 0.115561 0.397675
0.54 0.602325 0.119538 0.402593
0.55 0.597407 0.123564 0.407421
0.56 0.592579 0.127638 0.412159
0.57 0.587841 0.131759 0.416809
0.58 0.583191 0.135927 0.42137
0.59 0.57863 0.140141 0.425842
0.6 0.574158 0.1444 0.430227
0.61 0.569773 0.148702 0.434525
0.62 0.565475 0.153047 0.438735
0.63 0.561265 0.157434 0.44286
0.64 0.55714 0.161863 0.446898
0.65 0.553102 0.166332 0.450851
0.66 0.549149 0.170841 0.454718
0.67 0.545282 0.175388 0.458502
0.68 0.541498 0.179973 0.4622
0.69 0.5378 0.184595 0.465816
0.7 0.534184 0.189253 0.469348
0.71 0.530652 0.193946 0.472797
0.72 0.527203 0.198674 0.476164
0.73 0.523836 0.203436 0.479449
0.74 0.520551 0.208231 0.482653
0.75 0.517347 0.213057 0.485777
0.76 0.514223 0.217915 0.48882
0.77 0.51118 0.222803 0.491783
0.78 0.508217 0.227721 0.494666
0.79 0.505334 0.232668 0.497471
0.8 0.502529 0.237642 0.500198
0.81 0.499802 0.242644 0.502847
0.82 0.497153 0.247673 0.505418
0.83 0.494582 0.252727 0.507913
0.84 0.492087 0.257806 0.510332
0.85 0.489668 0.262909 0.512675
0.86 0.487325 0.268036 0.514942
0.87 0.485058 0.273185 0.517135
0.88 0.482865 0.278357 0.519254
0.89 0.480746 0.283549 0.521299
0.9 0.478701 0.288762 0.523271
0.91 0.476729 0.293995 0.52517
0.92 0.47483 0.299247 0.526998
0.93 0.473002 0.304517 0.528753
0.94 0.471247 0.309804 0.530438
0.95 0.469562 0.315109 0.532053
0.96 0.467947 0.320429 0.533597
0.97 0.466403 0.325765 0.535072
0.98 0.464928 0.331116 0.536479
0.99 0.463521 0.336481 0.537817
1 0.462183 0.341859 0.539087
1.01 0.460913 0.34725 0.540291
1.02 0.459709 0.352653 0.541427
1.03 0.458573 0.358067 0.542498
1.04 0.457502 0.363492 0.543503
1.05 0.456497 0.368927 0.544443
1.06 0.455557 0.374371 0.545319
1.07 0.454681 0.379825 0.54613
1.08 0.45387 0.385286 0.546879
1.09 0.453121 0.390755 0.547565
1.1 0.452435 0.39623 0.548189
1.11 0.451811 0.401712 0.548751
1.12 0.451249 0.4072 0.549252
1.13 0.450748 0.412692 0.549692
1.14 0.450308 0.418189 0.550073
1.15 0.449927 0.42369 0.550394
1.16 0.449606 0.429194 0.550656
1.17 0.449344 0.4347 0.55086
1.18 0.44914 0.440209 0.551007
1.19 0.448993 0.445719 0.551096
1.2 0.448904 0.45123 0.551129
1.21 0.448871 0.456741 0.551106
1.22 0.448894 0.462252 0.551027
1.23 0.448973 0.467763 0.550893
1.24 0.449107 0.473271 0.550705
1.25 0.449295 0.478779 0.550464
1.26 0.449536 0.484283 0.550169
1.27 0.449831 0.489785 0.549821
1.28 0.450179 0.495283 0.549422
1.29 0.450578 0.500777 0.548971
1.3 0.451029 0.506267 0.548469
1.31 0.451531 0.511752 0.547916
1.32 0.452084 0.517231 0.547314
1.33 0.452686 0.522704 0.546663
1.34 0.453337 0.528171 0.545963
1.35 0.454037 0.53363 0.545214
1.36 0.454786 0.539082 0.544418
1.37 0.455582 0.544527 0.543575
1.38 0.456425 0.549962 0.542686
1.39 0.457314 0.555389 0.541751
1.4 0.458249 0.560807 0.54077
1.41 0.45923 0.566214 0.539744
