time V1 V2 I
1.44 0.471271 0.583214 0.528729
1.45 0.472431 0.58849 0.527569
1.46 0.473632 0.593754 0.526368
1.47 0.474874 0.599005 0.525126
1.48 0.476155 0.604243 0.523845
1.49 0.477475 0.609469 0.522525
1.5 0.478833 0.61468 0.521167
1.51 0.48023 0.619878 0.51977
1.52 0.481664 0.625061 0.518336
1.53 0.483134 0.63023 0.516866
1.54 0.484642 0.635384 0.515358
1.55 0.486185 0.640522 0.513815
1.56 0.487764 0.645644 0.512236
1.57 0.489378 0.65075 0.510622
1.58 0.491026 0.65584 0.508974
1.59 0.492708 0.660913 0.507292
1.6 0.494423 0.665969 0.505577
1.61 0.496172 0.671007 0.503828
1.62 0.497953 0.676027 0.502047
1.63 0.499765 0.68103 0.500235
1.64 0.501609 0.686014 0.498391
1.65 0.503484 0.690979 0.496516
1.66 0.50539 0.695925 0.49461
1.67 0.507325 0.700852 0.492675
1.68 0.509289 0.705759 0.490711
1.69 0.511283 0.710646 0.488717
1.7 0.513305 0.715513 0.486695
1.71 0.515355 0.720359 0.484645
1.72 0.517433 0.725185 0.482567
1.73 0.519537 0.72999 0.480463
1.74 0.521668 0.734773 0.478332
1.75 0.523825 0.739535 0.476175
1.76 0.526008 0.744275 0.473992
1.77 0.528216 0.748993 0.471784
1.78 0.530448 0.753688 0.469552
1.79 0.532705 0.758361 0.467295
1.8 0.534985 0.763011 0.465015
1.81 0.537289 0.767638 0.462711
1.82 0.539615 0.772242 0.460385
1.83 0.541963 0.776822 0.458037
1.84 0.544334 0.781379 0.455666
1.85 0.546726 0.785912 0.453274
1.86 0.549139 0.79042 0.450861
1.87 0.551572 0.794905 0.448428
1.88 0.554025 0.799365 0.445975
1.89 0.556498 0.8038 0.443502
1.9 0.55899 0.80821 0.44101
1.91 0.561501 0.812595 0.438499
1.92 0.564031 0.816954 0.435969
1.93 0.566578 0.821289 0.433422
1.94 0.569142 0.825597 0.430858
1.95 0.571724 0.82988 0.428276
1.96 0.574322 0.834137 0.425678
1.97 0.576936 0.838367 0.423064
1.98 0.579566 0.842572 0.420434
1.99 0.582212 0.84675 0.417788
2 0.584872 0.850901 0.415128
2.01 0.587547 0.855025 0.412453
2.02 0.590236 0.859123 0.409764
2.03 0.592938 0.863194 0.407062
2.04 0.595654 0.867237 0.404346
2.05 0.598383 0.871253 0.401617
2.06 0.601124 0.875242 0.398876
2.07 0.603877 0.879203 0.396123
2.08 0.606642 0.883137 0.393358
2.09 0.609418 0.887043 0.390582
2.1 0.612206 0.890921 0.387794
2.11 0.615003 0.894771 0.384997
2.12 0.617811 0.898592 0.382189
2.13 0.620629 0.902386 0.379371
2.14 0.623456 0.906152 0.376544
2.15 0.626292 0.909889 0.373708
2.16 0.629136 0.913597 0.370864
2.17 0.631989 0.917277 0.368011
2.18 0.63485 0.920929 0.36515
2.19 0.637718 0.924552 0.362282
2.2 0.640594 0.928146 0.359406
2.21 0.643476 0.931711 0.356524
2.22 0.646365 0.935247 0.353635
2.23 0.64926 0.938755 0.35074
2.24 0.652161 0.942233 0.347839
2.25 0.655067 0.945682 0.344933
2.26 0.657978 0.949103 0.342022
2.27 0.660894 0.952494 0.339106
2.28 0.663814 0.955856 0.336186
2.29 0.666739 0.959188 0.333261
2.3 0.669667 0.962492 0.330333
2.31 0.672599 0.965766 0.327401
2.32 0.675534 0.96901 0.324466
2.33 0.678471 0.972226 0.321529
2.34 0.681411 0.975411 0.318589
2.35 0.684353 0.978568 0.315647
2.36 0.687297 0.981695 0.312703
2.37 0.690243 0.984792 0.309757
2.38 0.693189 0.987861 0.306811
2.39 0.696137 0.990899 0.303863
2.4 0.699085 0.993908 0.300915
2.41 0.702034 0.996888 0.297966
2.42 0.704982 0.999838 0.295018
2.43 0.707931 1.00276 0.292069
2.44 0.710878 1.00565 0.289122
2.45 0.713825 1.00851 0.286175
2.46 0.716771 1.01134 0.283229
2.47 0.719715 1.01415 0.280285
2.48 0.722658 1.01692 0.277342
2.49 0.725599 1.01966 0.274401
2.5 0.728537 1.02238 0.271463
2.51 0.731473 1.02506 0.268527
2.52 0.734406 1.02772 0.265594
2.53 0.737336 1.03035 0.262664
2.54 0.740263 1.03294 0.259737
2.55 0.743186 1.03551 0.256814
2.56 0.746106 1.03805 0.253894
2.57 0.749021 1.04056 0.250979
2.58 0.751932 1.04304 0.248068
2.59 0.754839 1.04549 0.245161
2.6 0.75774 1.04792 0.24226
2.61 0.760637 1.05031 0.239363
2.62 0.763529 1.05267 0.236471
2.63 0.766415 1.05501 0.233585
2.64 0.769295 1.05732 0.230705
2.65 0.772169 1.0596 0.227831
2.66 0.775037 1.06185 0.224963
2.67 0.777899 1.06407 0.222101
2.68 0.780754 1.06626 0.219246
2.69 0.783602 1.06842 0.216398
2.7 0.786443 1.07056 0.213557
