time V1 V2 I
1.39 0.248631 0.00375685 0.751369
1.4 0.246194 0.00376903 0.753806
1.41 0.243782 0.00378109 0.756218
1.42 0.241394 0.00379303 0.758606
1.43 0.23903 0.00380485 0.76097
1.44 0.236689 0.00381655 0.763311
1.45 0.234372 0.00382814 0.765628
1.46 0.232078 0.00383961 0.767922
1.47 0.229808 0.00385096 0.770192
1.48 0.227559 0.0038622 0.772441
1.49 0.225333 0.00387333 0.774667
1.5 0.22313 0.00388435 0.77687
1.51 0.220948 0.00389526 0.779052
1.52 0.218789 0.00390606 0.781211
1.53 0.216651 0.00391675 0.783349
1.54 0.214534 0.00392733 0.785466
1.55 0.212438 0.00393781 0.787562
1.56 0.210364 0.00394818 0.789636
1.57 0.20831 0.00395845 0.79169
1.58 0.206277 0.00396862 0.793723
1.59 0.204264 0.00397868 0.795736
1.6 0.202271 0.00398865 0.797729
1.61 0.200298 0.00399851 0.799702
1.62 0.198345 0.00400828 0.801655
1.63 0.196411 0.00401794 0.803589
1.64 0.194497 0.00402752 0.805503
1.65 0.192602 0.00403699 0.807398
1.66 0.190725 0.00404637 0.809275
1.67 0.188868 0.00405566 0.811132
1.68 0.187029 0.00406485 0.812971
1.69 0.185209 0.00407396 0.814791
1.7 0.183406 0.00408297 0.816594
1.71 0.181622 0.00409189 0.818378
1.72 0.179856 0.00410072 0.820144
1.73 0.178107 0.00410947 0.821893
1.74 0.176376 0.00411812 0.823624
1.75 0.174662 0.00412669 0.825338
1.76 0.172965 0.00413518 0.827035
1.77 0.171285 0.00414358 0.828715
1.78 0.169622 0.00415189 0.830378
1.79 0.167976 0.00416012 0.832024
1.8 0.166346 0.00416827 0.833654
1.81 0.164732 0.00417634 0.835268
1.82 0.163134 0.00418433 0.836866
1.83 0.161553 0.00419224 0.838447
1.84 0.159987 0.00420006 0.840013
1.85 0.158437 0.00420782 0.841563
1.86 0.156902 0.00421549 0.843098
1.87 0.155383 0.00422308 0.844617
1.88 0.153879 0.0042306 0.846121
1.89 0.15239 0.00423805 0.84761
1.9 0.150916 0.00424542 0.849084
1.91 0.149457 0.00425272 0.850543
1.92 0.148012 0.00425994 0.851988
1.93 0.146582 0.00426709 0.853418
1.94 0.145165 0.00427417 0.854835
1.95 0.143764 0.00428118 0.856236
1.96 0.142376 0.00428812 0.857624
1.97 0.141002 0.00429499 0.858998
1.98 0.139642 0.00430179 0.860358
1.99 0.138295 0.00430853 0.861705
2 0.136962 0.00431519 0.863038
2.01 0.135642 0.00432179 0.864358
2.02 0.134335 0.00432832 0.865665
2.03 0.133042 0.00433479 0.866958
2.04 0.131761 0.00434119 0.868239
2.05 0.130493 0.00434753 0.869507
2.06 0.129238 0.00435381 0.870762
2.07 0.127996 0.00436002 0.872004
2.08 0.126765 0.00436617 0.873235
2.09 0.125547 0.00437226 0.874453
2.1 0.124342 0.00437829 0.875658
2.11 0.123148 0.00438426 0.876852
2.12 0.121966 0.00439017 0.878034
2.13 0.120797 0.00439602 0.879203
2.14 0.119638 0.00440181 0.880362
2.15 0.118492 0.00440754 0.881508
2.16 0.117357 0.00441322 0.882643
2.17 0.116233 0.00441884 0.883767
2.18 0.11512 0.0044244 0.88488
2.19 0.114019 0.00442991 0.885981
2.2 0.112928 0.00443536 0.887072
2.21 0.111849 0.00444076 0.888151
2.22 0.11078 0.0044461 0.88922
2.23 0.109722 0.00445139 0.890278
2.24 0.108675 0.00445663 0.891325
2.25 0.107638 0.00446181 0.892362
2.26 0.106611 0.00446694 0.893389
2.27 0.105595 0.00447203 0.894405
2.28 0.104589 0.00447706 0.895411
2.29 0.103593 0.00448204 0.896407
2.3 0.102606 0.00448697 0.897394
2.31 0.10163 0.00449185 0.89837
2.32 0.100664 0.00449668 0.899336
2.33 0.0997068 0.00450147 0.900293
2.34 0.0987595 0.0045062 0.901241
2.35 0.0978216 0.00451089 0.902178
2.36 0.0968932 0.00451553 0.903107
2.37 0.095974 0.00452013 0.904026
2.38 0.0950641 0.00452468 0.904936
2.39 0.0941632 0.00452918 0.905837
2.4 0.0932713 0.00453364 0.906729
2.41 0.0923884 0.00453806 0.907612
2.42 0.0915143 0.00454243 0.908486
2.43 0.0906489 0.00454676 0.909351
2.44 0.0897922 0.00455104 0.910208
2.45 0.0889441 0.00455528 0.911056
2.46 0.0881044 0.00455948 0.911896
2.47 0.0872731 0.00456363 0.912727
2.48 0.0864502 0.00456775 0.91355
2.49 0.0856354 0.00457182 0.914365
2.5 0.0848288 0.00457586 0.915171
2.51 0.0840303 0.00457985 0.91597
2.52 0.0832398 0.0045838 0.91676
2.53 0.0824572 0.00458771 0.917543
2.54 0.0816824 0.00459159 0.918318
2.55 0.0809153 0.00459542 0.919085
2.56 0.0801559 0.00459922 0.919844
2.57 0.0794041 0.00460298 0.920596
2.58 0.0786599 0.0046067 0.92134
2.59 0.077923 0.00461038 0.922077
2.6 0.0771936 0.00461403 0.922806
2.61 0.0764714 0.00461764 0.923529
2.62 0.0757565 0.00462122 0.924244
2.63 0.0750487 0.00462476 0.924951
2.64 0.074348 0.00462826 0.925652
2.65 0.0736542 0.00463173 0.926346
2.66 0.0729675 0.00463516 0.927033
2.67 0.0722876 0.00463856 0.927712
2.68 0.0716145 0.00464193 0.928386
2.69 0.0709481 0.00464526 0.929052
2.7 0.0702884 0.00464856 0.929712
2.71 0.0696353 0.00465182 0.930365
2.72 0.0689887 0.00465506 0.931011
2.73 0.0683485 0.00465826 0.931651
2.74 0.0677148 0.00466143 0.932285
2.75 0.0670874 0.00466456 0.932913
2.76 0.0664663 0.00466767 0.933534
2.77 0.0658514 0.00467074 0.934149
2.78 0.0652427 0.00467379 0.934757
2.79 0.06464 0.0046768 0.93536
2.8 0.0640434 0.00467978 0.935957
2.81 0.0634527 0.00468274 0.936547
2.82 0.062868 0.00468566 0.937132
2.83 0.0622891 0.00468855 0.937711
2.84 0.0617159 0.00469142 0.938284
2.85 0.0611485 0.00469426 0.938851
2.86 0.0605868 0.00469707 0.939413
2.87 0.0600307 0.00469985 0.939969
2.88 0.0594802 0.0047026 0.94052
2.89 0.0589351 0.00470532 0.941065
2.9 0.0583955 0.00470802 0.941604
2.91 0.0578614 0.00471069 0.942139
2.92 0.0573325 0.00471334 0.942667
2.93 0.0568089 0.00471596 0.943191
2.94 0.0562906 0.00471855 0.943709
2.95 0.0557775 0.00472111 0.944223
2.96 0.0552695 0.00472365 0.944731
2.97 0.0547665 0.00472617 0.945233
2.98 0.0542686 0.00472866 0.945731
2.99 0.0537757 0.00473112 0.946224
3 0.0532877 0.00473356 0.946712
3.01 0.0528046 0.00473598 0.947195
3.02 0.0523263 0.00473837 0.947674
3.03 0.0518528 0.00474074 0.948147
3.04 0.0513841 0.00474308 0.948616
3.05 0.05092 0.0047454 0.94908
3.06 0.0504605 0.0047477 0.949539
3.07 0.0500057 0.00474997 0.949994
3.08 0.0495554 0.00475222 0.950445
3.09 0.0491096 0.00475445 0.95089
3.1 0.0486683 0.00475666 0.951332
3.11 0.0482314 0.00475884 0.951769
3.12 0.0477988 0.00476101 0.952201
3.13 0.0473706 0.00476315 0.952629
3.14 0.0469466 0.00476527 0.953053
3.15 0.0465269 0.00476737 0.953473
3.16 0.0461114 0.00476944 0.953889
3.17 0.0457001 0.0047715 0.9543
3.18 0.0452928 0.00477354 0.954707
3.19 0.0448897 0.00477555 0.95511
3.2 0.0444905 0.00477755 0.955509
3.21 0.0440954 0.00477952 0.955905
3.22 0.0437042 0.00478148 0.956296
3.23 0.0433169 0.00478342 0.956683
3.24 0.0429335 0.00478533 0.957066
3.25 0.0425539 0.00478723 0.957446
3.26 0.0421781 0.00478911 0.957822
3.27 0.0418061 0.00479097 0.958194
3.28 0.0414378 0.00479281 0.958562
3.29 0.0410732 0.00479463 0.958927
3.3 0.0407122 0.00479644 0.959288
3.31 0.0403549 0.00479823 0.959645
3.32 0.0400011 0.00479999 0.959999
3.33 0.0396508 0.00480175 0.960349
3.34 0.0393041 0.00480348 0.960696
3.35 0.0389608 0.0048052 0.961039
3.36 0.038621 0.0048069 0.961379
3.37 0.0382845 0.00480858 0.961715
3.38 0.0379514 0.00481024 0.962049
3.39 0.0376217 0.00481189 0.962378
3.4 0.0372952 0.00481352 0.962705
3.41 0.036972 0.00481514 0.963028
3.42 0.0366521 0.00481674 0.963348
3.43 0.0363353 0.00481832 0.963665
3.44 0.0360217 0.00481989 0.963978
3.45 0.0357112 0.00482144 0.964289
3.46 0.0354039 0.00482298 0.964596
3.47 0.0350996 0.0048245 0.9649
3.48 0.0347984 0.00482601 0.965202
3.49 0.0345001 0.0048275 0.9655
3.5 0.0342049 0.00482898 0.965795
3.51 0.0339126 0.00483044 0.966087
3.52 0.0336232 0.00483188 0.966377
3.53 0.0333368 0.00483332 0.966663
3.54 0.0330532 0.00483473 0.966947
3.55 0.0327724 0.00483614 0.967228
3.56 0.0324944 0.00483753 0.967506
3.57 0.0322192 0.0048389 0.967781
3.58 0.0319468 0.00484027 0.968053
3.59 0.0316771 0.00484161 0.968323
3.6 0.0314101 0.00484295 0.96859
3.61 0.0311457 0.00484427 0.968854
3.62 0.030884 0.00484558 0.969116
3.63 0.030625 0.00484688 0.969375
3.64 0.0303685 0.00484816 0.969632
3.65 0.0301145 0.00484943 0.969885
3.66 0.0298631 0.00485068 0.970137
3.67 0.0296143 0.00485193 0.970386
3.68 0.0293679 0.00485316 0.970632
3.69 0.029124 0.00485438 0.970876
3.7 0.0288825 0.00485559 0.971118
3.71 0.0286434 0.00485678 0.971357
3.72 0.0284067 0.00485797 0.971593
3.73 0.0281724 0.00485914 0.971828
3.74 0.0279405 0.0048603 0.97206
3.75 0.0277108 0.00486145 0.972289
3.76 0.0274835 0.00486258 0.972517
3.77 0.0272584 0.00486371 0.972742
3.78 0.0270356 0.00486482 0.972964
3.79 0.026815 0.00486593 0.973185
3.8 0.0265966 0.00486702 0.973403
3.81 0.0263804 0.0048681 0.97362
3.82 0.0261663 0.00486917 0.973834
3.83 0.0259544 0.00487023 0.974046
3.84 0.0257446 0.00487128 0.974255
3.85 0.0255369 0.00487232 0.974463
3.86 0.0253313 0.00487334 0.974669
3.87 0.0251278 0.00487436 0.974872
3.88 0.0249262 0.00487537 0.975074
3.89 0.0247267 0.00487637 0.975273
3.9 0.0245292 0.00487735 0.975471
3.91 0.0243337 0.00487833 0.975666
3.92 0.0241401 0.0048793 0.97586
3.93 0.0239485 0.00488026 0.976052
3.94 0.0237587 0.00488121 0.976241
3.95 0.0235709 0.00488215 0.976429
3.96 0.0233849 0.00488308 0.976615
3.97 0.0232008 0.004884 0.976799
3.98 0.0230186 0.00488491 0.976981
3.99 0.0228382 0.00488581 0.977162
4 0.0226595 0.0048867 0.97734
4.01 0.0224827 0.00488759 0.977517
4.02 0.0223076 0.00488846 0.977692
4.03 0.0221343 0.00488933 0.977866
4.04 0.0219627 0.00489019 0.978037
4.05 0.0217928 0.00489104 0.978207
4.06 0.0216247 0.00489188 0.978375
4.07 0.0214582 0.00489271 0.978542
4.08 0.0212934 0.00489353 0.978707
4.09 0.0211302 0.00489435 0.97887
4.1 0.0209686 0.00489516 0.979031
4.11 0.0208087 0.00489596 0.979191
4.12 0.0206504 0.00489675 0.97935
4.13 0.0204936 0.00489753 0.979506
4.14 0.0203384 0.00489831 0.979662
4.15 0.0201848 0.00489908 0.979815
4.16 0.0200327 0.00489984 0.979967
4.17 0.0198821 0.00490059 0.980118
4.18 0.0197331 0.00490133 0.980267
4.19 0.0195855 0.00490207 0.980414
4.2 0.0194394 0.0049028 0.980561
4.21 0.0192948 0.00490353 0.980705
4.22 0.0191516 0.00490424 0.980848
4.23 0.0190098 0.00490495 0.98099
4.24 0.0188695 0.00490565 0.981131
4.25 0.0187305 0.00490635 0.981269
4.26 0.018593 0.00490704 0.981407
4.27 0.0184568 0.00490772 0.981543
4.28 0.018322 0.00490839 0.981678
4.29 0.0181885 0.00490906 0.981811
4.3 0.0180564 0.00490972 0.981944
4.31 0.0179256 0.00491037 0.982074
4.32 0.0177961 0.00491102 0.982204
4.33 0.0176679 0.00491166 0.982332
4.34 0.017541 0.0049123 0.982459
4.35 0.0174153 0.00491292 0.982585
4.36 0.0172909 0.00491355 0.982709
4.37 0.0171677 0.00491416 0.982832
4.38 0.0170458 0.00491477 0.982954
4.39 0.0169251 0.00491537 0.983075
4.4 0.0168056 0.00491597 0.983194
4.41 0.0166873 0.00491656 0.983313
4.42 0.0165702 0.00491715 0.98343
4.43 0.0164542 0.00491773 0.983546
4.44 0.0163395 0.0049183 0.983661
4.45 0.0162258 0.00491887 0.983774
4.46 0.0161133 0.00491943 0.983887
4.47 0.0160019 0.00491999 0.983998
4.48 0.0158917 0.00492054 0.984108
4.49 0.0157825 0.00492109 0.984217
4.5 0.0156744 0.00492163 0.984326
4.51 0.0155674 0.00492216 0.984433
4.52 0.0154615 0.00492269 0.984538
4.53 0.0153567 0.00492322 0.984643
4.54 0.0152529 0.00492374 0.984747
4.55 0.0151501 0.00492425 0.98485
4.56 0.0150483 0.00492476 0.984952
4.57 0.0149476 0.00492526 0.985052
4.58 0.0148479 0.00492576 0.985152
4.59 0.0147492 0.00492625 0.985251
